this(that) is why	그래서, 그러므로
compare	비교하다
comparison	비교, 비유
so that~	~하기 위해
in order that~	~하기 위해
so as to	~하기 위해
eyesight	시력, 시각
get used to~	적응하다, 익숙해지다
adoption	채택, 입양
willingness	기꺼이 함
prompt	자극하다, 유발하다 / 추진시키다, 촉진하다 / 유발하다
familiarity	익숙함, 친숙함
intimacy	익숙함, 친숙함
expose	노출하다
compose	구성, 작곡, 작문하다
lifetime	평생
career	직업, 이력, 경력 / 직업
profession	직업
over time	시간이 지남에 따라
effort	노력
hand	건네다, 전하다
investor	투자자
panic	당혹감, 당황, 공포
terror	공포
desert	버리다
short-term	단기의
adversity	장애물, 역경 / 시련, 역경
in a rush	서둘러서
in a hurry	서둘러서
hastily	서둘러서
as for(to)	~에 관해 말하자면
article	기사
ordering	순서맞추기, 질서잡기
valuable	가치있는, 소중한 / 가치있는
ranking	평가하기, 등급매기기
disaster	재난, 재앙
victim	희생자, 피해자
be based on(upon)	~에 근거하다
attempt	시도, 시도하다
contempt	깔봄, 멸시
fit	맞는, 맞음, 맞춤
gauge	측정하다
length	길이
widen	넓히다
normal	보통의, 정상의
abnormal	비정상의
enormous	정상을 벗어난, 엄청난 / 거대한 / 엄청난
in addition to	~에 더해서
squeeze into	~로 밀어넣다
gradually	점차로, 점진적으로
habit	습관
inhabit	서식하다, 거주하다
initial	처음의, 시작의
tend to	~하는 경향이 있다
hesitate	주저하다, 망설이다
in touch with	~와 연락하는
read-through	~을 훑어 읽다
overall	전반적인, 전반적으로
bladder	부레
species	종
common	흔한, 공통된
as soon as	~하자마자
on~ing	~하자마자
once + 문장	일단 ~하면
punish	벌주다
nonsense	이치에 맞지 않는 말
ask ~ to~	~하라고 요청하다
keep ~ing	계속해서 ~하다
keep ~ from~ing	못하게 막다
in order of	~의 순서로
each other	서로
one another	서로 서로(여럿)
participation	참가, 참여
charming	매력적인
interviewee	인터뷰 받는 사람
try to~	노력하다
try ~ing	시도하다
not ~ at all	never
thing	상황, 일, 물건
prevent A from ~ing	A가 ~하는 것을 막다
prohibit A from~ing	A가 ~하는 것을 막다
deter A from~ing	A가 ~하는 것을 막다
forbid A from~ing	A가 ~하는 것을 막다
ban A from~ing	A가 ~하는 것을 막다
hinder A from~ing	A가 ~하는 것을 막다
keep A from~ing	A가 ~하는 것을 막다
inhibit A from~ing	A가 ~하는 것을 막다
stop A from~ing	A가 ~하는 것을 막다
keep A on track	A를 순조롭게 진행하다
original	원래의, 독창적인
struggle to ~	~하기 위해 애쓰다
strive to~	~하기 위해 애쓰다
school fee	수업료
where to ~	어디에서 ~해야 할지
turn for(to)	~을 의지하다
devise	생각해내다, 고안하다 / 고안하다(동)
ask A to ~	A가 ~하도록 요청하다
recital	연주회, 독주회
Prime Minister	수상, 국무총리
ravage	파괴하다, 황폐화하다
devastate	황페화하다, 멘붕오다 / 훼손시키다
tons of	다수의, 많은
manage to V	가까스로 V하다
resolutely	확고하게
envious	부러워하는
jealous	부러워하는, 질투나는
frightened	놀란, 겁먹은
alarmed	놀란, 겁먹은
terrified	놀란, 겁먹은
startled	놀란, 겁먹은
fearful	놀란, 겁먹은
wrath	분노
feel easy	안심하다
stern	단호한, 엄격한
strict	단호한, 엄격한
tense	긴장한, 긴박한
intense	강렬한, 열정적인
in the first place	애초에, 애초부터
model	틀을 만들다
mostly	대부분, 주로 / 주로
pay no attention to	소홀히 하다
set the stage for	무대장치를 하다
sibling	형제자매
apply	적용하다 / 적용하다, 지원하다
underestimate	과소평가하다
underrate	과소평가하다
make ~ public	공표하다
maximize	최대화하다
co-worker	동료
self-correcting	스스로 수정하는
account	설명, 진술, 계좌
bank account	은행계좌
erupt	폭발하다, 분출하다
eyewitness	목격자
shuttle	왕복선
proven	~로 밝혀진, 입증된
noticeable	중대한 / 분명한, 눈에 잘 띄는
indispensable	필수적인,없어서는 안될
witness stand	증인석
bathed in blue	파란색으로 휩싸인
beautify	아름답게 꾸미다
calming	차분하게 하는
serene	차분한, 평온한
shine	빛나다
glitter	반짝 빛나다
shimmer	희미하게 빛나다
gleam	희미하게 빛나다
illuminate	비추다, 밝히다
brighten	밝게 비추다
imply	암시하다, 의미하다
supply	공급하다
as a matter of fact	정말, 사실은
parrot	흉내 내다
plain	분명한 / 분명한, 평범한, 평야
prevention	예방
precaution	예방
astonishing	놀라운, 뛰어난
soothing	진정시키는, 달래는
console	달래다, 위로하다
stumble on	우연히 발견하다
amenity	편의 서비스
deciding	결정적인
decisive	결정적인, 결단력있는
mass transportation	대중교통
pupil	학생, 동공
aid	돕다
take root	정착하다, 뿌리내리다
toward	~를 향해
upward	위로 향한
downward	아래로 향한
internal	내부의, 내적인
interior	내부의, 내적인
external	외부의, 외적인
hand in	제출하다
apparel	의상
gift certificate	상품권
saw	톱질하다 / 톱, 톱질하다
be hosted	개최되다
extra	여분의
wrap	포장하다
pave	(길,도로)포장하다
envelope	봉투
gardening	원예
reap	수확하다
rip	찢다, 벗겨내다
rib	갈비
lip	입술
save	저장하다
demonstration	시범, 입증, 시위
misguided	잘못 판단된
mistaken	잘못된, 오해하는
applaud	박수를 치다
give~a big hand	박수를 치다
speak well(highly) of	칭찬하다
take away from	빼앗다
for one’s sake	~를 위해서
validity	타당성, 타당도
valid	타당한, 유효한 / 유효한, 타당한
invalid	무효한, 근거없는 / 무효한, 근거 없는
motivated	동기화된
related to	~와 관련이 있는
have to do with	~와 관련이 있다
breast cancer	유방암
caffeinated	카페인을 섭취한
as usual	평소와 같이
main entrance	정문
look A in the eyes	A의 눈을 보다
turn on one's heels	발걸음을 돌리다
be left ~ing	~한 채로 남겨지다
forgiving	관대한
bean	콩, 열매
get dressed in	~을 입다
commodities	일용품
nor	또한 아닌
meet the need	요구를 충족시키다
consumer	소비자, 고객
user	소비자, 사용자
purchaser	소비자
conceptual	추상적인, 개념상의
notional	추상적인, 개념상의
metaphysical	추상적인, 형이상학적인
get hung up	매달리다
go smooth	원활하게 되다
on-the-spot	즉시의, 당장의
apart	떨어져, 따로
aside from	~외에도, ~를 제외하고
experimenter	연구자, 실험자
issue	사안, 문제, 발행하다
issue a passport	여권을 발행하다
work out	성사시키다, 해내다
be worthwhile to	~가치가 있다
shed light on	~을 보여주다
that's that	그게 끝이다
enhance	향상시키다, 강화하다 / 강화하다
take notice	알아채다
remain stuck in	~에 매어 있다
be likely to	~할 가능성이 있다 / ~할 가능성이 있는
be apt to	~할 가능성이 있다 / ~할 가능성이 있는
be liable to	~할 가능성이 있다 / ~할 가능성이 있는
get along	어울리다, 잘 지내다
humid	습한
pitch	경기장, 던지다, 음높이
linguist	언어학자
revolutionary	획기적인
noteworthy	주목할 만한
as is true of	~가 그러하듯이
specialized	특화된
cell	세포
observations	관찰
pessimism	비관주의
constructively	건설적으로
