grayish	회색의
eyelid	눈꺼풀
cross­section	횡단면
distantiation	거리두기
distancing	거리두기
influenza	독감
sanitation	위생
pioneering	선구적인
the other party	상대방
certainly	분명히
combat	싸우다
pond	연못
organisms	유기체
trophic	영양의
public resource	공공재
fear	두려움
difficult	까다로운
endlessly	끊임없이
incessantly	끊임없이
principles	원칙
rust	녹
offer	제공하다
a point of view	관점
anthropologist	인류학자
classifying	분류
conclusions	결론
maybe	아마도
be convinced	확신하다
omnivore	잡식동물
certain + 명사	특정한
pollution	오염
medical insurance	의료보험
advertising	광고
dialect	방언
librarian	사서
economic	경제의
earning	수입
primates	영장류
go bad	상하다
high­end	최고급의
profitability	수익성
biologist	생물학자
show ~ off	드러내다
by the way	한편
pull together	모으다
multicultural	다문화의
cultural	문화적인
lead to + 결과	야기하다
researcher	연구원
front lawn	앞마당
pain reliever	진통제
pain killer	진통제
reach a deal	성사하다
added	부가적인
during	~동안
find out	알아내다
failure	실패
brief	간단한
facing	정반대의
moisten	적시다
thief	도둑
carry away	운반하다
asleep	잠든
hurriedly	서둘러
to the core	뼛속까지
president	회장
pretty	꽤
greeting	인사
when it comes to 21	~에 관해
pump	배출하다
greenhouse gas	온실가스
scapegoat	희생양
electricity	전기
religion	종교
self	자아
flying acrobatics	곡예비행
earthworm	지렁이
uptake	흡수
blocker	방해물
acidic	산성의
buildup	축적
hatch	부화하다
adulthood	성체
from now on	지금부터
no less	역시
as far as	~하는 한
hold in memory	기억하다
neural circuit	신경회로
unceasingly	끊임없이
draw up	흡수하다
pill	알약
overpriced	비싼
changeover period	전환기
oppressive	억압적인
long-lived	지속적인
how come	어째서
ardor	열정
clapping	박수갈채
army	군대
wisdom	지혜
target	목표
in haste	서둘러
railway	철도
air-conditioning	냉방(기)
flower arrangement 27	꽃꽂이
cancellation	취소
way	방식
feather	깃털
on and on	계속해서
main character	주인공
up front	대놓고
tragic	비극적인
face-to-face	대면의
shoelace	신발 끈
mild	부드러운
soda	탄산음료
well-rested	잘 쉰
rootedness	뿌리내림
legendary	전설의
gathering	수확
funny	기이한
cut ~ off	끼어들다
cut in	끼어들다
middle-aged	중년의
unwelcoming	불친절한
helplessly	힘없이
take~off	분리하다
swing set	그네
physiology	생리학
in agreement	동의하며
deceive A into B	속이다
reckon	계산하다
instances	사례들
schoolmate	학교친구
far + 비교급	훨씬 더
missing	빠져있는
gone	빠져있는
faced	직면한
keep~rolling	지속하다
intellectually	지적으로
upbringing	양육
sea levels	해수면
future tense	미래시제
under way	진행중인
forestall	방지하다
youth	청소년
raising	양육
impotent	무기력한
bedtime	취침시간
volunteer	지원자
timeframe	시간대
remark on	언급하다
cardiovascular	심혈관의
hay	건초
broken	고장난
fixture	설비
abused	남용된
misused	남용된
returns	보상
brave	용기있는
latent ability	잠재력
stupid	어리석은
unintelligent	어리석은
wired up	타고난
dispatch	발송하다
one-on-one	일대일
hidden	숨겨진
concealed	숨겨진
wastage	낭비
tourist industry	관광산업
hospitality industry	서비스업
hospitality	환대
escalation	상승
muse	영감
loose	느슨한
for a bit	잠시동안
drive out	몰아내다
run an experiment	실험하다
uncultured	미개한
entertaining	재미있는
equator	적도
on foot	걸어서
mind-blowing	놀라운
self-sufficiency	자급자족
stay off	멀리하다
ecologist	생태학자
automation	자동화
run short	부족하다
salt content	염분
journal	쓰다
graduate student	대학원생
characterise	특징짓다
warm up	준비되다
rubber stamp	고무도장
bathing suit	수영복
superhuman	초인적인
increase	증가하다
look for	~을 찾다
modernization	현대화
differ	다르다
time frame	기간
countryside	시골
bunny	토끼
creator	창조자
clothing	옷
perfect	완성하다
cloth	천, 직물
construe	해석하다
tale	이야기
evil	사악한
stepsister	의붓자매
grow	재배하다
ax	도끼
mineral	광물
be released	방출되다
be delivered	전달되다
depending upon	~에 따라
relying on	~에 따라
product review	상품 평
musical notation	악보
sword	칼
midnight	자정
private	개인적인
post-	-후
pre-	-전
unpaid	무보수의
leisure	여가
off-load	떠넘기다
a majority of	다수의
fair-minded	공정한
high school senior	고3 학생
industrialized	산업화된
for free	무료로
self-image	자아상
yeast	효모
look up to	존경하다
distantly	멀리서
remotely	멀리서
lengthwise	세로로
livestock	가축
aeroplane	비행기
division of labor	분업
tempo	속도
tack	추적하다
nearly	거의
spoiled	상한
politely	공손히
misrepresentation	왜곡
accountant	회계사
make light of	경시하다
qualitatively	질적으로
quantitatively	양적으로
castration	거세
sole	유일한
ending	말단
crystal lattice	결정격자
eardrum	고막
good(=goods)	상품
replenish	보충하다
footprint	발자국
lamb	어린 양
pastureland	목초지
brick	벽돌
ad(advertisement)	광고
succeed in	해내다
commonsense	상식적인
else	그 밖의
put it	말하다
bloodstream	혈류
excitation	자극
firefly	반딧불이
lightning bug	반딧불이
slavery	노예제도
runaway	도망자
autobiography	자서전
transplantation	이식
insecurity	불안
for quite some time	오랫동안
sooner than later	조만간
trust in	의존하다
ahead	미리
in a real sense	실제로
ocean	바다
bucket	양동이
far­reaching	광범위한
diligence	근면
center	집중하다
luring	유혹하는
secondary school	중등학교
mathematics	수학
all through	내내
all over	내내
delightful	즐거운
enjoyable	즐거운
adjusted	맞추어진
living being	생명체
nonprofit	비영리인
traits	특징
attributes	특징
sleepiness	졸음
drowsiness	졸음
apt	적절한
near	다가가다
mistranslation	오역
cub	새끼
negativity	부정성
untidy	무질서한
neatly	깔끔하게
challenges	고난
obstacles	고난
voter	유권자
propulsion	추진(력)
deferred	지연된
prematurely	초기에
accidently	우연히
reshape	재구조화
sharp	예리한
enlargement	확장
anonymously	익명으로
namelessly	익명으로
a sense of agency	주인의식
eradication	멸종
nomad	유목민
settler	정착자
labor	노동력
migratory bird	철새
punishment	처벌
penalty	처벌
certification	인증
merged	결합된
bragging	자랑하는
showing off	자랑하는
achievements	성취
accomplishments	성취
powerlessness	무력감
triggers	자극
inclusiveness	포용성
exclusiveness	배타성
sequester	격리하다
send in	제출하다
one-sided	편향된
misunderstood	오해받은
misinterpreted	오해받은
shaped	형성된
formed	형성된
essentialism	본질주의
sum up	요약하다
summarize	요약하다
fruitlessly	헛되이
vainly	헛되이
constrained	제한된
vocal cords	성대
forelimb	앞다리
hindlimb	뒷다리
melted	용해된
self-evident	자명한
budgetary	예산의
crammed	빡빡한
realistic	현실적인
coexistence	공존
forcefully	강력하게
beloved	사랑받는
daylight	낮, 햇빛
daytime	낮
microorganism	미생물
flounder	넙치
staring	응시하는
gazing	응시하는
sore	아픈
consumer goods	소비재
urbanization	도시화
cynical	냉소적인
twisting	왜곡
hearsay	소문
rumor	소문
high-dimensional	고차원
gestural	몸짓의
embryo	배아
grade school	초등학교
a wealth of	수많은
internalization	내면화
pronunciation	발음
in some manner	어떻게든
have a clue	짐작하다
a sequence of	연속된
make a face	찡그리다
electrical current	전류
knee-jerk	자동적인
comedy	희극
drink in	흡수하다
off-and-on	반복적인
pushback	저항
come up short	부족하다
insulating	차단하는
separating	차단하는
be ruined	망쳐졌다
be related	관련되다
be associated	관련되다
be interlinked	관련되다
referee	심판
from a distance	멀리서
tear down	철거하다
ape	유인원
pup	새끼
give birth to	~을 낳다
refute	반박하다
archaeology	고고학
invader	침입자
recognized	인정받는
acknowledged	인정받는
auction	경매
rash	무모한
impulsive	무모한
careless	무모한
retired	퇴직한
breathe out	내쉬다
vaporize	증발하다
nonliving	비생물의
compost	퇴비
meditative	명상적인
contemplative	명상적인
ultraviolet	자외선의
death rate	사망률
regression	퇴보
biomedical	생의학의
odyssey	긴 여행
prohibition	금지
mammalian	포유류의
resources	자원
overpowering	압도적인
debt	빚
dig out	발굴하다
undermining	훼손하는
impairing	훼손하는
endowed	부여받은
hibernate	동면하다
reptile	파충류
ranger	관리원
rewind	되감다
typewriter	타자기
keystroke	키 입력
delete	삭제하다
intend to	의도하다
mean to	의도하다
flatness	평면성
salesperson	판매원
rush	서두름
cafeteria	구내식당
historian	역사학자
nondiscrimination	비차별
aggregation	응집
proto-star	원시별
planned	설계된
electron	전자
nationality	국적
humbleness	겸손
millennia	수천 년
answerability	책임성
presumed	가정된
iron	철
physiologist	생리학자
pull apart	분리하다
bi-directionality	양방향성
periodic	주기적인
chewing	씹기
measures	측정
harmonious	조화로운
hexagonal	육각형의
illusory	착각의
derivative	파생적인
imitation	모방
recurring	반복적인
billionaire	억만장자
broke	무일푼의
newsstand	가판대
twinkling	반짝이는
bundling	묶기
useful	유용한
conceptualization	개념화
developed world	선진국
ingroup	내집단
outgroup	외집단
rebellious	반항적인
by the time~	~할 때쯤
get lost	사라지다
multilayered	다층화된
bleak	황량한
desolate	황량한
press	강요하다
self-defense	자기방어
self-protection	자기보호
self-destruction	자기파멸
narrowness	좁음
make amends	보상하다
ruinous	파괴적인
unresisting	순종하는
rich	풍부한
ice sheets	얼음층
blast	폭발
forced	강제적인
