substitute for	~ 대신하여
layoff	(일시적)해고
firing	해고
self-employment	자영업
nothing but	#NAME?
not~anything but	#NAME?
anything but	#NAME?
impulsive spending	충동적 소비
diet	식단, 음식, 식이요법
effect of A on B	A가 B에 미치는 영향
influence of A on B	A가 B에 미치는 영향
impact of A on B	A가 B에 미치는 영향
consistent	지속적인 / 끊임없는, 지속적인
nursery school	유치원(영)
prehistoric	원시의, 선사시대의
recent	최근의
be motivated to	~동기 부여되다
uncertainty	불확실성
field study	현장 연구
eagerly	간절히, 열망하여 / 열심히
by and large	전반적으로, 대체로
across the board	전반적으로, 대체로
sense of belonging	소속감
polite	예의 바른, 공손한
choir	합창단
rewarding	가치있는, 보람있는
cut out	∼을 잘라 내다 / (잘라서) ~을 만들다
put up	게시하다
lizard	도마뱀
male	수컷(의)
female	암컷(의)
wiped out	기진맥진한
to one’s feet	일어서 있는
ahead of	~ 앞에
make demands on	~을 필요로 하다
place	경우, 입장, 처지
earn a living	생계를 꾸리다
make a living	생계를 꾸리다
sew ~ together	~을 꿰매 붙이다
uppers	(신발의) 윗부분
tool	도구
multicellular organism	다세포 생물
evolution	발전, 진화
genetic material	유전 물질
social	사회적인, 사교적인
dominant	지배적인, 우월한
prevailing	우세한, 지배적인
have ~ in common	~을 공통으로 지니다
limited	제한된, 한정된
finite	제한된, 한정된
restrained	제한된, 한정된
cover up	~을 숨기다
favorable	유리한, 호의적인
cave	동굴
adapt to	~에 적응하다
nerve	신경 (조직)
seldom	거의 ~하지 않다
sum	합계, 액수
hit puberty	사춘기가 되다
used to ~	~하곤 했다
be into	~을 좋아하다
alike	비슷한
duty free	면세
hostess	여주인
geography	지형, 지리
geology	지질학
geometry	기하학
abuse	악용하다, 남용하다
resident	주민, 거주인 / 거주자
traffic jam	교통 체증
parking lot	주차장
reputation	평판, 명성
bow	고개를 숙여 인사하다
morally	도덕적으로
be caught up with	~에 사로잡히다
patience	인내심
slave	노예
servant	하인
cruel	잔인한
overcook	너무 익히다
overeat	과식하다
overwork	과로하다
oversleep	늦잠자다
go by	(시간이) 지나가다
resolve	결심하다 / 해소하다, 결심하다
cage	우리
bleed	피가 나다
herb	약초, 풀
(up)on ~ing	~하자마자
lick	핥다
several	몇몇의
sake	이득
deficiency	결점, 부족한 점
though	비록~일지라도
orders	지시
honestly	진심으로
earnestly	진심으로
refuge	대피소, 피난처
sanctuary	대피소, 성스러운 곳
hole	구멍, 틈
vent	구멍(연기빼는)
surround	둘러싸다, 에워싸다
encircle	둘러싸다, 에워싸다
enclose	둘러싸다, 에워싸다
encompass	둘러싸다, 에워싸다
horrified	겁먹은, 무서워하는
spooked	겁먹은, 무서워하는
growth	발달, 성장
maturation	발달, 성장
foster mother	수양 어머니
step mother	계모(새엄마)
educational	교육적인
educative	교육적인
instructive	교육적인
informing	교육적인
enlightening	교육적인
outgoing	외향적인, 사교적인
incoming	도착하는, 들어오는
essence	본질, 정수
delight	기쁨
pleasure	기쁨
pleasant	기쁜
plead	애원하다, 간청하다
swift	즉각적인, 빠른
reawaken	다시 불러일으키다
re-collect	다시 불러일으키다
concept	개념
off course	경로 밖으로
flower	꽃이 피다, 번영하다
in the midst of	~중간에
circumstance	상황, 환경
undeviating	끊임없는, 지속적인
profitably	유익하게
enjoyably	즐길 수 있게
farming	농업
forestry	임업
livestock industry	축산업
fishing industry	어업, 수산업
distribution industry	유통업
aquafarm	양식장
key factor	주요 요소
influencing	영향을 주는
compared to	~와 비교하여
akin	비슷한
online rating	온라인 평점
Pacific Ocean	태평양
Atlantic Ocean	대서양
Indian Ocean	인도양
Arctic Ocean	북극해
Antarctic Ocean	남극해
be located in	~에 위치하다
official	공식적인
certified	공식적인
consist of~	~로 구성되다
be comprised of~	~로 구성되다
be made up of~	~로 구성되다
symbolize	상징화하다
regular visitor	정기 방문객
weekdays	주중
weekends	주말
blood donation	헌혈
be accompanied by	~을 동반하다
strengths	강점, 장점
weak point	약점
weaknesses	약점
vulnerable point	약점
make worse	악화시키다
go downhill	악화시키다
subjectively	개인적으로, 주관적으로
inclined to do	~하는 경향이 있는
have a tendency to	~하는 경향이 있다
procedure	절차, 관례
reflect on	되돌아보다, 생각하다
in retrospect	되돌아보면(다르게생각)
regretful	후회하는
thankful	감사하는
with ease	쉽게, 순조롭게
against the odds	역경을 무릅쓰고
typically	일반적으로, 전형적으로
for the first time	처음으로
beyond price	귀중한, 값비싼
be used to V	~하는데 사용되다
be accustomed to N	~하는데 익숙하다
used to V	(한때)~하곤 했다
frequent	빈번한
light up	환해지다
all sorts of	모든 종류의
talented	타고난, 재능 있는
would rather	~하는 게 낫다
wide-ranging	광범위한
expansive	광범위한
