convinced	확신하는
abroad	해외로
collect	모으다
diary	일기
expect	기대하다
flea	벼룩
glove	장갑
roll	구르다
role	역할
amused	즐거운
satirical	풍자적인
pony	조랑말
swellfish	복어
whirlpool	소용돌이
vortex	소용돌이
human species	인류
foundation stone	초석
of all time	역대
skim through	훑어보다
high-quality	고급(의)
entrance fee	입장료
make a reservation	예약하다
zeal	열정
nephew	(남)조카
niece	(여)조카
bank	강둑
let go of ~	놓다
lottery	복권
committee	위원회
assigned	정해진
reassignment	재배치
make efforts	노력하다
consumerism	소비주의
fireplace	벽난로
broomstick	빗자루
sleep soundly	푹 자다
shivery	떨리는
fringe	가장자리
periphery	가장자리
glued	들러붙은
flour	밀가루
herdsmen	목동들
give an account of~	설명하다
primate	영장류
nocturnal	야행성의
courtesy	예의
cane	지팡이
meteorite	운석
persuasion	설득
trim	깎다
clip	깎다
intricately	복잡하게
complicatedly	복잡하게
involvedly	복잡하게
maze	미로
proportional	비례하는
over the course of	…동안
martial art	무술
overhaul	복구하다
put back	복구하다
graduate school	대학원
exclusive sale	독점판매
the ruling elite	지배층
undisguised	솔직한
washboard	빨래판
laundry	세탁물
commonplace	흔한
spin-dry	탈수하다
detergent	세제
self-help	자기계발
rack	선반
incinerator	소각로
thresh	타작하다
ritualized	의례적인
life insurance	생명보험
fist	주먹
admission fee	입장료
visual materials	시각자료
presenter	발표자
revolving	회전
body paragraph	본문
digitally	숫자로
decimeter	십진법
nervous breakdown	신경쇠약
carbohydrate	탄수화물
symptoms	증상
embargo	금지하다
flocks	떼
longitude	경도
spear	창, 투창
calf	송아지
glooming	어둑한
immensity	큰 규모
decimal point	소수점
trout	송어
sizeable	상당한
on the sly	몰래
on the quiet	몰래
misunderstand	오해하다
monologue	독백
businesspeople	사업가
pope	교황
professorship	교수직
at all times	항상
pastoral	전원의
postscript	추신
cutthroat	치열한
wrist	손목
mop	닦다
swab	닦다
spurt	분출하다
crude oil	원유
the Middle East	중동지역
suicide	자살
purchasing	구매
fire protection	방화
in use	사용되는
extra money	여윳돈
on schedule	예정대로
as scheduled	예정대로
archaeologist	고고학자
tuna	참치
rattlesnake	방울뱀
on every occasion	어김없이
take flight	도망치다
wilful	의도적인
elegance	우아함
crystallization	구체화
shatter	부서지다
yielding ability	생산성
grey	우울한
blue	우울한
ragingly	격노하여
civilized	문명화된
governor	주지사
oxygen	산소
a portion of	~의 일부
desertification	사막화
sporadic	산발적인
in concentration	집중하여
properties	특성
historical sites	사적지
preparations	준비
sue	고소하다
calmly	침착하게
hind leg	뒷다리
in volume	대량으로
in quantity	대량으로
in bulk	대량으로
soloist	독주자
nationalism	민족주의
familial	가족의
fiance	약혼자
picky	까다로운
break into~	침입하다
lay~ out	제시하다
move to and fro	흔들리다
move back and forth	흔들리다
huddle	모이다
poll	설문조사
questionnaire	설문지
aversive	혐오적인
underground	지하의
subterranean	지하의
usage	사용
wartime	전시
stroller	유모차
dangle	매달리다
unsteady	불안정한
make a distinction	구별하다
deafness	귀먹음
plasticity	가소성
life span	수명
playfulness	명랑함
liberalization	자유화
capital market	자본시장
healthy	건전한
ditch	배수로
eroded	침식된
disorganization	혼돈
sparrow	참새
robin	울새
angling	낚시
fig	무화과
excellent	뛰어난
perfectionism	완벽주의
precious metal	귀금속
fixed	고정된
self­talk	혼잣말
the deceased	고인
dehydration	탈수
self-ownership	자영업자
coact	협력하다
silversmith	은세공인
toilet	변기
plumber	배관공
the better part	대부분
crawl	기다
determinedly	결연히
jaw	입, 턱
amazement	놀라움
duty-free	면세의
backpacking	배낭여행
break new ground	개척하다
clay tablet	점토판
evacuee	피난민
touching	감동적인
homeless person	노숙자
diabetes	당뇨병
homicide	살인
assassination	암살
stomach cancer	위암
liver cancer	간암
lung cancer	폐암
Master´s degree	석사학위
archaeological	고고학의
anthropology	인류학
cultural heritage	문화유산
collusion	공모
suicidal	자살의
advise	조언하다
survivorship	생존
radioactivity	방사능
underrated	저평가된
measles	홍역
chicken pox	천연두
roll on	굴러가다
open house	공개행사
biannual	연 2회의
consent form	동의서
rheology	유동학
deformation	변형
attractiveness	매력
permanency	영속성
afterimage	잔상
shading	명암
overlapping	중복된
wardrobe	옷장
indigo	남색
trousers	바지
retail merchant	소매상
sound wave	음파
syndrome	증후군
stunned	멍하게
emptily	멍하게
absent-mindedly	멍하게
mournful	슬픈
wear off	사라지다
(in the) meantime	한편
cone	원뿔
quadrangle	사각형
heptagon	칠각형
ascent	상승
cure	치료(법)
tentacle	촉수
allowable	허용되는
caption	자막
primitively	원래
summit talks	정상회담
workmanship	솜씨
aesthetically	미적으로
crater	분화구
woodcut	목판화
sculpt	조각하다
dissemination	보급
a matter of ~	~의 문제
peer-to-peer	개인간의
ceiling	천장
as of + 날짜	~일자로
one’s own expense	자비로
chili	고추
horrible	끔찍한
shack	오두막
practice of medicine	의료행위
tumor	종양
unconsciousness	무의식
natural disaster	자연재해
print shop	인쇄소
art show	전시회
harshly	호되게
first place	1등
skull	두개골
antiquity	고대
modernity	현대(성)
concerto	협주곡
splendidly	훌륭하게
diagram	표, 그림
bookcase	책장
humankind	인류
human beings	인류
have ten thumbs	서투르다
proofreading	교정
suction	흡입
prior to ~	~ 이전에
no lack of	~이 많은
the newest	최신의
the latest	최신의
disgraceful	부끄러운
creaminess	느끼함
gender	성별
chamber	방, 실내
algebra	대수학
groundwater	지하수
kinetic	운동의
openness	개방성
individualized	개별화된
interfering	간섭하는
homeless	노숙자
fateful	운명적인
public service	공공시설
rain gear	우비
lightening rod	피뢰침
rod	막대, 매
replica	복제품
omnivorous	잡식성의
global	지구의
conservatism	보수성
disliking	싫어하는
note-taking	필기
biotechnology	생명공학
a prime number	소수
ranch	목장
standby	대기중의
toleration	관용
censor	검열하다
laugh at~	조롱하다
mock	조롱하다
reverie	공상
all the while	내내
censorship	검열
traitorous	배신하는
bureaucratic	관료적인
dysfunctional	고장난
career advancement	승진
inclined plane	경사면
slope	경사면
crash down	붕괴하다
social study	사회과목
relativity	상대성
tic	경련, 틱
drop dead	급사하다
skew	왜곡하다
estimated	어림잡은
make one’s way	나아가다
chestnut	밤
cough	기침
paramedic	구급대원
truly	진심으로
jolly	즐거운
in no time	즉시
capitalism	자본주의
democratization	민주화
collective wisdom	공동지혜
be dominated	지배되다
