impressionist	인상주의 화가
willful	제멋대로
street smart	세상 물정에 밝은
narrowly	좁게, 편협하게
weighty	중요한
trivial	하찮은, 시시한
rosy	유망한
bright	유망한
intently	열심히, 오로지
nod	고개를 끄덕이다(Yes)
shake (one’s head)	고개를 가로젓다(No)
stop by(in)	잠깐 들르다
drop by(in)	잠깐 들르다
cater	음식을 제공하다
mind	신경 쓰다, 꺼리다
loyal	충성스러운
human-induced	인간이 유발한
exponentially	기하급수적으로
motivation	동기부여, 하고싶은 기분 / 동기 부여
operating cost	운영비
station	방송국
liberal	진보적인
unprofitable	이익을 못 내는
struggling	힘겨워하는
imprinted	각인된
poetry	시, 시가, 운문
poet	시인
poem	한편의 시
democracy	민주주의
primal	원시적인
uncivilized	원시적인
barbarian	야만적인, 미개한
savage	야만적인, 미개한
goatherd	염소지기
awakening	잠을 깨우는, 각성의
fable	우화, 교훈적 이야기
monastery	수도원
alerting	각성의
originator	창시자, 창작자
amend	수정하다, 변경하다
destabilize	불안정하게 만들다
inquisitive	호기심이 많은
essential	중요한, 필수의
out-of-date	오래된, 구식의
transfer	전학하다, 이동하다
make fun of	~를 놀리다
touched	감동받은
introduce	도입하다, 소개하다
induce	유도하다, 유발하다
stationery store	문구점
industry	업계, 산업
celebration	기념행사, 축하 행사
get into	~에 타다
point at	~을 가리키다
yell out	외치다, 고함치다
cry out	외치다
get ~ back	~을 되찾다
past	~을 지나서
ankle	발목
put in effort	노력을 기울이다
so far	지금까지, 이제까지
faced with	~에 직면한
confronted with	~에 직면한
nail	못, 손톱
currently	현재
stair	계단
sidewalk	인도, 보도
crosswalk	횡단보도
speed by	빠르게 지나가다
memorize	기억하다
keep~in mind	기억하다
bear~in mind	기억하다
carry	취급하다
remain	남아있다
ruins	유적
board	타다, 승선하다
mission	임무
waterproof	방수 처리하다
beneath the waves	바닷속으로, 해저에
coast	해안
main	주요한
chief	주요한
to one’s advantage	～에게 유리하게
truthful	정직한
honest	정직한
in the long term	장기적으로 보면
good intentions	선의
get nowhere	성과를 내지 못하다
aspiration	열망, 열정
perspiration	땀, 노력
within	…안에
magnet	자석[사람을 끄는 것]
appealing to	~에 호소하는
rental shop	대여점
end up~ing	(결국) ~ 되다
result	결과
package deal	세트로 판매되는 상품
mashed potato	으깬 감자
rest on ~	~에 의존하다
rely on ~	~에 의존하다
count on ~	~에 의존하다
depend on ~	~에 의존하다
printer	인쇄업자
pal	친구, 동료
buddy	친구, 동료
combine A with B	A와 B를 결합하다
be grateful for	고마워하다
confused	혼란스러운
perplexed	혼란스러운
analyze	분석하다
clarify	분명하게 하다
productivity	생산성
put ~ down	~을 적다
note ~ down	~을 적다
maximum	최대의
camper	캠핑하는 사람
in exchange for	~의 대가로
unimaginable	상상할 수 없는
prominent	뛰어난 / 뛰어난, 튀어나온
rather than~	~라기 보다는,~가 아니라
cleanse	세척하다, 정화하다
in agreement with	~에 따라
what’s more	게다가
wreck	망치다, 난파
by contrast	이와 대조적으로
fairy tale	동화
permanently	영구적으로, 영원히
for good	영구적으로, 영원히
lastingly	영구적으로, 영원히
eternally	영구적으로, 영원히
without exception	예외 없이
hero	남자 주인공
heroine	여자 주인공
partly	부분적으로
audience	관객
be true of	~에 해당하다
correspond to~	~에 해당하다
horror	공포물, 공포
fright	공포
on the edge of ~ seat	매료되어
play	희곡
food for thought	사고[생각]할 거리
review	후기, 논평, 비평
interpersonal	사람과 사람 사이의 / 대인 관계의
depend on	~에 의존하다
recommendation	추천
wide­reaching	폭넓은, 광범위한
wander	돌아다니다, 방황하다
stroll	돌아다니다, 산책하다
rejoin	~에게 돌아가다
apologize	사과하다
keep to a minimum	~을 최소로 해 두다
lasting	지속적인, 계속되는
chill one’s blood	간담을 서늘하게 하다
hallway	복도
think nothing of	경시하다
beating	(심장의) 고동
reach out	손을 뻗다, 접근하다
horrifying	무시무시한
ashamed	부끄러운, 창피한
delighted	아주 기뻐하는
come over	(생각, 감정)밀려오다
distant	거리를 두는
carriage	마차
pay attention to	~에 주목하다
pay heed to	~에 주목하다
give an eye to	~에 주목하다
take notice of	~에 주목하다
rather than	~보다는, ~대신에
automobile	자동차
horseless	말이 없는
underlie	~의 기초가 되다
natural	타고난
belong to	(~에) 속하다
predators	포식자
social bond	사회적 유대
circumstances	환경
mammals	포유류
puzzle	당황하게 하다
bewilder	당황하게 하다
perplex	당황하게 하다
confound	당황하게 하다
antelope	영양
disease-carrying	질병을 옮기는
insect	곤충
insecticide	살충제
herbicide	제초제
in total	통틀어, 전체로서
one’s voice breaks	변성기가 되다
appointment	직책/약속
organist	오르간 연주자
royal household	왕가
ocean currents	해류
ultraviolet light	자외선
infrared light	적외선
microplastics	미세 플라스틱
pass through	~을 빠져 나가다
marine	바다의, 해양의
food web	먹이 그물
occasions	때, 기회
elegantly	우아하게, 품위있게
cheerful	명랑한, 쾌활한
lab (laboratory)	실험실
wonder	궁금하다
dealerships	(승용차) 대리점
lose weight	몸무게를 줄이다
gain weight	살찌다
low-fat	저지방의
fortune-teller	점쟁이
ethnic	민족의, 인종의
acceptable	수용될 만한, 용인되는
salespeople	판매원
discuss	상의하다, 논의하다
warfare	전투
informal atmosphere	편안한/느슨한 분위기
inception	처음, 시작
turn upside down	뒤집어엎다
realization	인식, 알아봄
psychologist	심리학자
transposition	치환
interpret	해석하다, 설명하다
establish	설립하다, 설정하다
social frameworks	사회 구조
structural features	구조적 특성
call in	부르다
spring to life	다시 작동하다
supervisor	관리자, 감독관
manager	관리자
connection	관계, 관련성
relation	관련성
out of place	상황에 맞지 않는
scientific	과학의, 과학적인
experiment	실험
ray of sunlight	한 줄기의 햇빛
blended	합성의
walk the earth	지구에 살다
fossil	화석
preserved	보존된
electronic resources	전자 장비
acoustic	소리의, 청각의
prevalent	폭넓은, 광범위한
quietness	조용함
poisoning	중독, 음독
edible	먹을 수 있는
positive identification	확실한 확인
prized	귀한, 소중한
cherished	귀한, 소중한
be able to	~을 할 수 있다
briefly	잠시
point to	지적하다, 가리키다
caring	친절한, 배려하는
warmth	따뜻함, 온기
northern	북쪽의, 북부의
amazed	(대단히) 놀란
freshly	갓 ~한
ancestors	조상
forefathers	조상
extreme	극심한, 지나친
supplier	공급 업체
business executive	회사 간부
deep in debt	많은 빚을 진
bankruptcy	파산
in an instant	즉시, 당장, 곧
rest home	요양소
newfound	새로 발견한
