at any rate	어쨌든
analytics	분석(학)
resell	되팔다
behavioral	행동의
fixated	집착하는
medical student	의대생
judgement	판단
tobacco	담배
sin tax	죄악세
spin on one’s axis	자전하다
learn by heart	암기하다
stand against	맞서다
chimney	굴뚝
worst of all	최악은
lakeshore	호숫가
contended	만족한
fever	흥분, 열
queer	이상한
be presented with	~을 받다
purposefully	일부러
adjective	형용사
direct proportion	정비례
inverse proportion	반비례
leave open	열어두다
a crack	조금
halfway	절반
in favour	찬성하는
approving	찬성하는
end-item	완제품
father	창립자
spit	뱉어내다
lesson	교훈
willpower	의지력
paralysis	마비
fill out	작성하다
broker	중개인
modern schooling	현대교육
merciful	자비로운
to the fullest	완전히
leave	떠나0다
forgive	용서하다
on this occasion	이번에
be sure	확신하다
a level of	~의 수준
civil servant	공무원
glory	영광
tidal force	조석력
public money	공공자금
oyster	굴
introduced	도입된
shellfish	어패류
native species	토착종
seaweed	해초
total	전체의
College of Medicine	의학대학
accustom to	적응하다
be composed	구성되다
visual capability	시력
the course of	~동안
waistline	허리둘레
identically	동등하게
thinking	사색
talking	토론
intense(intensive)	강렬한
blood stream	혈류
caveman	원시인
mediating	중개의
body weight	체중
heartbeat	심박수
of importance	중요한
heat up	가열하다
pulse	박자
in anticipation	기대하며
frozen	얼어붙은
intimidation	위협
ever so often	이따금
rhythm	규칙성
ignition point	발화점
detached	분리된
assort	분류하다
disharmony	불일치
pit of stomach	명치
perceptional	인지적인
windward	풍상측의
mountain range	산맥
charging	부과
skillfully	능숙하게
ably	능숙하게
line of thinking	사고방식
adversely	반대로
a matter of	~의 문제
police	감시하다
reef	암초
hammer	강타하다
batter	강타하다
slug	강타하다
keep on	지속되다
short-lived	일시적인
elongation	연장
seedling	묘목
guinea pig	피실험자
stock market	주식시장
come true	실현되다
be realized	실현되다
plan	설계하다
in conflict	싸움에서
puff up	부풀리다
swell up	부풀리다
howl	포효하다
victory	승리
worn	닳은
battered	닳은
selfless	이타적인
have butterflies in~stomach	초조하다
on edge(edgy)	초조하다
march	나아가다
at home	국내에서
domestically	국내에서
spherical	둥근
beat oneself up	자책하다
accuse oneself	자책하다
reproach oneself	자책하다
kick oneself	자책하다
domination	지배
mechanized	기계화된
in mass quantities	대량으로
byproduct	부산물
secondary product	부산물
spin-off	부산물
mode of transportation	교통수단
telecommunication	재택근무
wanderer	떠돌이
beneficence	호의
cosy	편안한
sail	항해하다
activation	활성화
gravitational attraction	중력
anxiousness	불안감
zest	묘미
paper	논문
ticklishness	간지럼
clown	광대
look forward to~	기대하다
rusty	녹슨
the majority of~	대다수의
over and over again	반복해서
rusting	녹이 슨
weeds	잡초
underside	아래쪽에
unaided	스스로
unassisted	스스로
airliner	여객기
subordinates	부하
analyst	분석가
floating	유동적인
radio wave	전파
as one pleases	마음대로
socialism	사회주의
communism	공산주의
mortgage	담보
rise and fall	흥망성쇠
accrue	축적하다
obsolete	구식의
out of date	구식의
bring off	해내다
fit in	적합하다
affiliate	뭉치다
bolstering	강화
counterargument	반론
turbulence	난류
graded	채점된
impatiently	초조하게
recuperation	회복
escapism	현실도피
innocence	죄책감
steer clear of	피하다
be turned on	발동하다
introspect	성찰하다
preventive	예방적인
sanitary	위생
sewage	하수
supportive	협력적인
emperor	황제
knight	기사
beacon	횃불
arguing	논쟁
acclimation	순응
pigment	색소
antidote	해독제
a galaxy of	수많은
on time	제시간에
on the dot	제시간에
lucidity	명확성
clearness	명확성
in one accord	조화롭게
opacity	불투명성
reinterpretation	재해석
well-off	부유한
wed	결혼하다
arranged marriage	중매결혼
illiteracy	문맹
botany	식물학
mingle	섞이다
borrower	채무자
debtor	채무자
creditor	채권자
with regard to N	~에 관해
with respect to N	~에 관해
negative number	음수
positive number	양수
designation	명칭
observational	관찰의
unsound	불안정한
antinutrient	항영양소
forbear from	참다
gravitational	중력의
tidal	조수의
bulge	팽창하다
error	실수
disobedient	반항적인
reported	보고되는
inflow	유입
benign	온화한
Antarctic	남극지역
cactus	선인장
get by	살아가다
subsist	살아가다
electric field	전기장
creative	창의적인
adjustability	적응성
unroll	펴다
specialties	특산품
habitual	일상적인
twig	잔가지
continually	계속해서
priesthood	사제직
escort	동행하다
theology	신학
discriminatory	차별적인
rigorous	엄격한
illustration	실례
entranced	매료된
enthralled	매료된
enchanted	매료된
solar system	태양계
