shipment	배송
rumble	(천둥따위가)울리다
roar	(천둥)울리다, 으르렁대다
one by one	하나하나씩
suppose	가정하다, 추측하다 / 가정하다, 추정하다
speculate	추측하다, 투기하다
sustainable	지속적인, 지속 가능한
be revealed	밝혀지다, 드러나다
be disclosed	밝혀지다, 드러나다
speak highly of	칭찬하다
backfire	역효과를 내다
opposite effect	역효과
side effect	부작용
cash register	계산대, 금전 등록기
labeled	이름 붙여진
sweatshop	노동착취공장
chemicals	화학물질
polluter	오염원
pollutant	오염원
discarded	버려진, 버린
dumped	버려진, 버린
immunity-booster	면역력 촉진제
gravity	심각성, 중력
seriousness	심각성
recovery	회복
immune system	면역 체계
Turkish	터키의
previous	이전의, 앞선 / 이전의
combat photographer	종군 사진 기자
sentenced to death	사형을 선고받다
portrait	얼굴 사진, 초상화
collection	수거함, 수거
plastic bag	비닐봉지
installment	할부
installation	설치, 설비
interact	상호작용 하다, 교류하다
front yard	앞마당
backyard	뒷마당
postpone	미루다, 연기하다
delay	미루다, 연기하다
defer	미루다, 연기하다
sickle	낫
and so on	기타 등등
and the like	기타 등등
natively	선천적으로
inclined	~하는 경향이 있다
generalization	일반화
make sense of~	~을 이해하다
causal	원인의, 원인을 나타내는
involve in	연관시키다
contribute	기여하다 / 기여하다, 공헌하다
in frustration	절망하여, 실망하여
thoughtful	사려 깊은
round trip	왕복
one-way	편도
innovative	혁신적인, 획기적인
incentive	보상, 장려금; 자극, 동기
concentrate on	~에 집중하다
center on	~에 집중하다
incompetent	무능력한
incapable	무능력한
intention	의도, 의사 / 의향, 의도
unsuitable	적합하지 않은
unsuited	적합하지 않은
keep away from	가까이 하지 않다
document	기록하다, 문서화 하다
physicist	물리학자
be surrounded by	~로 둘러싸여 있다
quite	상당히
be made up of	~로 구성되다 / ~로 이루어지다
watercourse	강, 물줄기
eternal	끝없는, 영원한
consider	여기다, 간주하다
redefine	재정의하다
file suit	소송을 제기하다
common good	공익
make use of	활용하다, 이용하다
trivet	삼각 거치대
blacksmith	대장장이
investigation	조사
examination	조사
bracket	계층
overspending	과도한 지출, 과소비
patient	환자
regard as	~로 여기다
traditionally	전통적으로
occasionally	이따금씩, 때때로
from time to time	이따금씩, 때때로
deceased	사망한
clinically	임상적으로
redeem	되찾다
illogical	비이성적인
fool	속이다
cheat	속이다
on the surface	표면적으로, 표면에
in essence	핵심은, 본질적으로는
fondly	애정 어리게
predetermined	미리 결정된
summon	불러내다
impatient	조급한, 참을성 없는
intervene	끼어들다, 방해하다
if not	그렇지 않으면
or else	그렇지 않으면
supervise	감독하다 / 감시하다, 감독하다
legislator	입법자, 국회의원
overhear	엿듣다
additional	추가적인, 부가적인
supplementary	추가적인, 부가적인
internalize	내면화하다, 습득하다
weary	지친, 피곤한
knocked out	지친, 피곤한
leftmost	가장 왼편의
rightmost	가장 오른편의
utmost	최고의, 극도의
shopkeeper	가게주인
avail oneself of	이용하다, 활용하다
give the impression	인상을 주다
be fooled	~에 속다
monitor	관찰하다, 감시하다
college admission	대학 입학
job application	구직, 입사 지원
qualification	자격 조건, 자질
in one's favor	~에게 유리하도록
lecture	강의
be flooded with	~가 넘쳐나다
pathfinder	개척자, 선구자
be fascinated with	~에 매료되다
doctorate degree	박사 학위
zoology	동물학
be unable to	~할 수 없다
racism	인종 차별 / 인종차별주의
biology	생물학
be capable of	~할 수 있다
cardiac	심장의
noted	저명한, 유명한
dinosaur	공룡
develop into	~로 발전되다
long-term	오래된, 예전부터의
dualism	이원론
cognitive	인지의, 인식의
paradigm	패러다임, 인식의 틀
confusion	혼돈, 혼란
predictability	예측 가능성
the chances are	아마도
monotony	단조로움, 변화가 없음
conductor	(열차의) 승무원
come around	여기저기 돌아다니다
brief case	서류 가방
mass media	대중 매체
generalize	일반화하다
reciprocity	상호 이익(호혜성)
entirety	전체, 전부
such as	…같은
pace around	서성거리다, 돌아다니다
viewpoint	관점, 시각
in this light	이런 관점에서 보면
notable	눈에 띄는, 두드러진
analyse	분석하다
depth perception	거리 감각
consistent with	~와 일치하는
coincident	일치하는
settled	안정적인
browse	훑어보다
relativism	상대주의
tolerance	관용, 포용력
polarize	양극화하다
racial discrimination	인종 차별
poverty	가난, 빈곤
dictator	독재자
heterogeneity	이질성
alchemist	연금술사
natural selection	자연 선택, 진화
photosynthesis	광합성
compel	강제하다, 강요하다
deadly	치명적인, 위험한
gratifying	만족을 주는
immobility	부동성, 고정
department	부(서), 과
completion	완성, 완료
move on	옮기다
fancy	멋진, 아주 좋은
head	향하다
can't wait	몹시 바라다
excited	신나는, 흥분된
all the way	멀리, 내내
glacier	빙하
iceberg	빙산
rocky	암석인, 바위의
stony	돌이 많은, 냉정한
seaboard	해안, 해변
seashore	해안, 해변
knotty	힘든, 곤란한
settle down	(자리잡고)정착하다
break	휴식
lonely	외로운
lone	외로운, 혼자의
alone	혼자서
shared	공동의, 공유되는
sense of satisfaction	만족감
enrich	풍부하게 하다
cut down	줄이다
narrow down	줄이다
benefit from	~로부터 혜택을 받다
(all)by oneself	혼자서
take a role	역할을 맡다
text-based	텍스트에 근거한
vs.(versus)	대(對)
major in	~을 전공하다
sociology	사회학
graduate from	~을 졸업하다
go on to	더 나아가 ~하다
bachelor’s degree	학사 학위
master's degree	석사 학위
doctor’s degree	박사 학위
congresswoman	여성 하원 의원
speak out for	지지하는 목소리를 내다
civil rights	시민권
make sure	확인하다
dead end	막다른 길
coziness	편안함
sweat	땀을 흘리다
perspire	땀을 흘리다
blinded	눈먼
better off ~ing	~하는게 더 낫다
time-driven	시간에 쫓기는
snap judgment	순식간에 내리는 판단
