sharpen	연마하다
at regular intervals	일정한 기간마다
run out	다 떨어지다, 만료되다
be exhausted	다 떨어지다, 고갈되다
disrespect	불손, 무례
fall out of love with	~와 정을 떼다
fall in love with	사랑에 빠지다
beast	짐승
saint	성자
prayer	기도 / 기도, 기도자
invite	권하다
public opinion poll	여론 조사
with respect to~	~에 관하여
be faced with	~에 직면하다
anatomist	해부학자
marry A with B	A와 B를 결합하다
playwright	극작가
rewrite	개작하다
overturn	뒤집다
physics	물리학
interconnected	상호 연결된
human resources	인적 자원
along with	~와 더불어, 함께
doer	실행가
inspirer	사기를 불어넣는 사람
put together	~을 짜다[구성하다]
unusually	특별하게, 이례적으로
exact	정확한
multiple-choice	선다형
flash back to~	~를 회상하다
accidentally	우연히
state park	주립 공원
athletic competition	운동 시합
frontier	국경
examine	~을 조사하다
melt away	차츰 녹아 사라지다
free rider	무임 승차자
worn (out)	낡은
shabby	낡은
international	국제적인
other than	~외에dir 다른
keep one's promise	~의 약속을 지키다
keep one’s word	~의 약속을 지키다
true to one's word	~의 약속을 지키다
toil	힘든 고생
shipping cost	수송비
shipping charge	배송료
pray	기도하다
hunger	배고픔
badly off	궁핍한
a person in need	곤경에 빠진 사람
for long	오랫동안
virtuous	도덕적인, 미덕이 있는
reckless	무모한
consider A (as) B	A를 B라고 생각하다
gullible	잘 속아 넘어가는
insufficiency	결핍, 부족
neither A nor B	A도 아니고 B도 아닌
generous	관대한
stingy	인색한
biased	편향된, 편견을 가진
praiseworthy	칭찬할 만한
ever-present	항상 존재하는
certain	확실한, 틀림없는
sensitivity	세심함, 감성 / 민감성, 예민함
sensibility	감수성 / 감성, 감수성
in particular	특히
measurement	측량, 측정
predict	예측하다, 예견하다
honesty	양심, 정직
psychology	심리(학)
beneficial	이익이 되는, 유익한
self-respect	자기 존중
creativity	창의성, 창의력
kingdom	왕국
first aid	응급(처치)의
fluorescent lighting	형광등
tiring	피곤하게 하는
chemical	화학물질
well-being	행복(감) / 건강, 행복
manmade	인공의
wavelength	파장
reflect	반영하다 / 반영하다, 반사하다
necessary	필수적인, 필요한
necessarily	반드시, 필연적으로
not necessarily	반드시 그런 것은 아니다
artificial intelligence	인공 지능
take call	전화를 받다
call out	~을 부르다
confusing	혼란시키는
be off	부족하다
in reverse	거꾸로, 반대로
add up	합산하다
gather	수집하다, 모으다
be good at	~을 잘하다
stillness	고요함 / 정적, 고요
quietude	정적
mathematician	수학자
subordinate	부수적인, 부하(하급자)
hesitating	주저하는, 망설이는
have an impact on	~에 영향을 주다
make no sense	말이 안된다
stargaze	별을 쳐다보다
misspell	~의 철자를 틀리다
mishear	잘못 알아듣다
give ~ a hand	~를 도와주다
look over	~을 살펴보다
undergo surgery	수술을 받다
fantasize	공상하다
idealize	이상화하다
discouraging	좌절시키는
misleading	오해하게 하는 / 속이는, 현혹시키는
cosmetics	화장품
unfortunately	불행하게도
wipe off	닦다
ragged	누더기 옷을 입은
bus fare	버스 요금
success	성공, 성공한 사람
successive	이어지는, 계승된
find	알다, 알아내다
restrain	억제, 통제, 제한하다
constrain	억제, 통제, 제한하다
restrict	억제, 통제, 제한하다
constrict	억제, 통제, 제한하다
curb	억제, 통제, 제한하다
repress	억제, 통제, 제한하다
suppress	억제, 통제, 제한하다
oppress	억제, 통제, 제한하다
reform	바꾸다, 조정하다
windscreen	(차) 앞 유리
have trouble ~ing	~하는데 어려움을 겪다
airspeed	비행기 속도
willfully	의도적으로
bump	~에 부딪히다
hump	혹
lever	지렛대
loosen up	긴장이 풀리다
unenlightened	무지한, 미개의
overcrowded	붐비는
cross-check	교차 확인
consult	참고하다, 상담하다
millenium	천년
be determined to~	~하기로 결심하다
treadmill	챗바퀴, 러닝머신
stationary bike	운동용 고정 자전거
at all cost(s)	무슨 수를 써서라도
cost an arm and a leg	큰 돈이 들다
tooth and nail	필사적으로
thirsty	갈망하는
burning	갈망하는
definition	정의, 해상도
as a result	결과적으로
completeness	완성도, 완전함
now and again	때때로
inspect	조사하다
flattering	기분 좋게 하는
tell~apart	구별하다
do~ a favor	호의를 베풀다
oblige	베풀다, 의무를 부여하다
provide A with B	A에게 B를 제공하다
present A with B	A에게 B를 제공하다
well-to-do	부유한
sightseeing	관광
manual	설명서, 손으로 하는
armed with~	~로 무장한
blackmail	위협하다
prefer A to B	B보다 A를 선호하다
unrealized	실현되지 않은
journalist	기자, 언론인
posting	게시
bill	청구서, 지폐, 광고
dwell	거주하다, 생각하다
pessimistic	비관적인
recession	경기후퇴, 불경기
fluctuate	오르내리다, 변동하다
numbers	(비유)소득
habitually	습관적으로
pervasive	만연하는, 널리 퍼져있는
digestive	소화기 계통
prescribe	처방하다, 규정하다
antibiotic	항생제
put another way	다른 말로 하자면
optimist	낙관주의자
pessimist	비관주의자
spontaneously	자발적으로, 자연스럽게
make notes	적어두다
crew	팀원들, 단원들
last-minute	마지막 순간의
disregarding	~에 관계없이
take risks	위험을 감수하다
richness	풍부함
out of question	틀림없이
calorie-dense	열량이 높은
reservoir	저수지
excel	능가하다
addiction	중독
self-preserving	자기보존의
be rooted in	~에 근거가 있다
gene	유전자
sink	가라앉다
shrug	(어깨를)으쓱하다
launch	시작하다, 발사하다
undertake	시작하다, 착수하다
set out	시작하다, 착수하다
