eldest	첫째
be influenced by	~에 영향을 받다
win	습득하다; 얻다
Nordic	북유럽 사람(의)
B as well as A	A 뿐만 아니라 B도
not just A but B	A 뿐만 아니라 B도
be translated into	~로 번역되다
escape	떠나다; 달아나다 / 피하다
evacuate	물러나다, 피난하다
verified	검증된
period	시기; 기간
be held	개최되다
in case of	~의 경우에
cancel	취소하다
call off	취소하다
affirmatively	긍정적으로
optimistically	긍정적으로, 낙관적으로
negatively	부정적으로
pessimistically	부정적으로, 비관적으로
sense of identity	정체성
conform to	~에 부합하다, 따르다
conformity	적합, 일치, 순응성
standard	기준
be likely to 동·원	~할 가능성이 있다
no less than	자그마치, 무려
as much as	자그마치, 무려
no more than	단지~일뿐(only)
per	~당, 마다
expensive	에너지 소모가 많은
marvelously	놀랍도록
monitoring	관찰
pay for	~의 비용을 지불하다
supreme	최고의, 일류의
chimp	침팬지
outmaneuver	~에게 이기다
outrun	앞질러 달리다
prey	먹잇감
a couple of	두 개의, 몇 개의
better yet	더 좋게는
collegial	평등하게 책임을 지는
right angle	직각
outwardly	외견상, 겉보기에는
on one's own	혼자서
works	작동하다
chapter	(책의) 장
of no help	도움이 되지 않는
multiple‒choice	선다형의
character‒based	문자에 기반을 둔
relative to	~에 비해, 관련된
face‒to‒face	면대면의
text‒based	텍스트 기반의
level	수준; 정도
latitude	자유, 위도, 지역
non‒verbal	비언어적인
satire	풍자
on one's feet	일어서서
refuse to 동·원	~하기를 거절하다
might (just) as well	~하는 게 낫다
positional	위치와 관련된
can’t help ~ing	~하지 않을 수 없다
cannot but 동원	~하지 않을 수 없다
belly	(신체) 배
because of	~ 때문에
uncertain	불확실한
unsure	불확실한
to the full	충분히, 최대한으로
to the maximum	최대한으로
violence	무리, 해로움; 난폭
digestion	소화
spacecraft	우주선
survival	생존
surfaces	표면
crews	승무원
instruments	기구, 도구
hypothesis‒testing	가설 검증
grown‒up	어른, 성인
let alone	~는 말할 것도 없이
get the most out of	~을 최대한 활용하다
recreate	재현하다
sure enough	아니나 다를까
grocery store	식료품점
an entire body of	매우 많은
placement	배치
to one's advantage	~에게 유리하게
drawer	서랍장
hold true	진실이다, 유효하다
pantry	식료품 저장실
used to 동·원	(한때)였다, 하곤 했다
lined	줄지어 놓여있는
is filled with	~로 가득 차있다
make a decision	결정을 내리다
sit out	나와 있다
every time	~할 때 마다
whenever	~할 때 마다
step on	~을 밟다
by mistake	실수로
stumble	비틀거리다
drop by	들르다
stop by	들르다
raise money	돈을 마련하다
chances are that	아마도
newest	최신의
state of the art	최신식의, 최첨단의
when it comes to ~	~에 대해서는
confined	제한된, 한정된, 협소한
infancy	유아기
personality trait	성격적 특성
cooperate with	~와 협력하다
collaborate with	협력하다
surgical procedure	수술 절차
indoor	실내의
on top of (that)	~외에도
though + SV	비록 S+V 일지라도
racist	인종차별주의자
heart disease	심장병
heart attack	심장마비
around the corner	곧, 임박한
safety vest	안전 조끼
be tricked into ~	속아서 A 하게 되다
be jumped into ~	속아서 A 하게 되다
gossip	소문, 험담
selective	선택적인
anniversary	추모일
reportage	보도
onlooker	구경꾼, 방관자
to a certain extent	어느 정도까지
split-second	순식간의, 순간적인
Dutch	네덜란드의
hold on	잡다
rock	흔들리다
eloquent	설득력 있는, 말 잘하는
pregnancy	임신
associate A with B	A와 B를 연관시키다
be conditioned	조건화되다
be depleted	고갈되다
be preserved	보존되다
upon + N	N 직후에
fall off	떨어지다
dare	감히 ~하다
human race	인류
mankind	인류
rays of light	광선
coded	암호화된
retina	망막
possessor	소유자
captivity	감금, 포획
leafy branch	잎이 많은 가지
bark	울부짖다, 나무껍질
once + SV	SV 하기만 하면
assertiveness	단호함
prior generation	이전 세대
socialization	사회화
variability	정도의 차이, 변동성
funeral	장례식
opposed to	~에 반대되는
counter to	~에 반대되는
contrary to	~에 반대되는
clinician	임상의
disbelieve	믿지 못하다
peddler	행상
identical twin	일란성 쌍둥이
take over	인수하다, 물려받다
succeed to	물려받다
before long	머지않아, 곧
bitterness	적대감, 신랄함
brokenness	단절된 관계
come down	무너지다
picturesque	경치 좋은, 그림 같은
walking trail	산책로
cut	지나가다, 잘라내다
play a role	~의 역할을 하다
play a part	~의 역할을 하다
spring	원천
habitation	(사람)거주지
(in)habitant	거주자
reconsider	재고하다, 다시 생각하다
rethink	재고하다, 다시 생각하다
on a leash	목줄을 매고
fur	털가죽
leather	가죽
adorable	사랑스러운
endearing	사랑스러운
get out of	~에서 빠져나가다
distract	방해하다, 산만하게 하다
super	아주, 대단히
except in	~을 제외하고
how to	어떻게~할지
overpromise	과잉 약속
differential	차별적인, 차이가 나는
discriminative	차별적인
disparate	차이가 나는
pricing	가격책정
pop out of	~밖으로 튀어나오다
distribution system	유통 체계
most of all	무엇보다도
first of all	무엇보다도
above all things	무엇보다도
truthfulness	진정성
forum	장, 공개토론회
right off the bat	즉시
undesirable	바람직하지 않은
commit to	~에 전념하다
devote to	~에 전념하다
dedicate to	~에 전념하다
affliction	고통
plentifulness	풍족함
demand a price	대가를 요구하다
request for reward	대가를 요구하다
bit by bit	점점
harmonize	조화시키다
solar	태양의
lunar	달의
aquatic	수생의
ecosystem	생태계
latterly	최근에
significant source	중요한 원인
greenhouse	온실가스
