chew	씹다
swallow	삼키다, 제비
exposed	노출된
surface area	표면적, 표면
digestive enzyme	소화효소
that is to say	즉
raw material	원재료, 원료
a mouthful of	한입의
heat	따뜻하게 하다
pack ice	유빙
high-altitude	고도가 높은
rainforest	열대 우림
in no small measure	상당히
quit	중단하다, 그만두다
resign from	중단하다, 그만두다
track and field	육상경기
businesswoman 26	여사업가
orphaned	고아가 된
washerwoman	세탁부
backbreaking	고된, 대단히 힘든
strenuous	고된, 대단히 힘든
fall out	(머리카락) 빠지다
maid	가정부
across the country	전국에 걸쳐
coast to coast	전국에 걸쳐
sales agent	판매 대리인
livable	살기에 알맞은
on site	현장에서
odour	냄새
molecule	분자
and vice versa	그 반대도 마찬가지다
soapy	비누 맛이 나는, 비누 같은
upshot	결과
fruits	결과
depend upon	~에 달려있다
locate	위치를 알아내다, 위치하다
for that reason	그에 따라, 따라서
develop	진화하다
breeding	사육
rearing	사육
culture	사육
tame	길들이다
mobile	이동하는
instinctual	직관적인, 본능적인
respire	호흡하다
consultant	자문가
describe	기술하다, 묘사하다
inscribe	글자를 새기다
subscribe	구독하다, 기부하다
transcribe	옮겨 쓰다, 베끼다
be united	합쳐지다
usher	안내하다
usher in	시작되게 하다
without doubt	틀림없이
branch out	다양화하다
do the trick	효과가 있다
do the job	효과가 있다
be effective	효과가 있다
staffing	인력 배치
fossilize	화석화되다
sets of	일련의
a bit	약간
at all	아예, 전혀
go under	파산하다, 가라앉다
go bankrupt	파산하다
beg	부탁하다
leadership	수뇌부
upper limit	상한치, 상한선
margin	여유
flail	마구 흔들리다
equate with	~와 동일시하다 / 동일시하다
the others	나머지 전부
penetrate	관통하다
pierce	관통하다
glance back	반사하다
absent	존재하지 않는, 없는
marked	두드러진, 눈에 띄는
dilate	팽창하다
causal relationship	인과 관계
sociologist	사회학자
spurious	허위의, 가짜의
fake	허위의, 가짜의
counterfeit	허위의, 가짜의
correlation	연관성, 상관관계
independent variable	독립 변인
dependent variable	종속 변인
biological	생물학의
reset	재설정하다
reestablish	재설정하다, 회복하다
so long as	~하는 한, ~하는 동안은
sign	신호
blindness	시력 상실
circadian	24시간 주기의
act	역할을 하다
be termed A	A로 불리다
be referred to A	A로 불리다
giver	제공자
provider	제공자
offerer	제공자
synchronizer	동기화 장치
agricultural	농업의
co-evolve	함께 발전하다
in the hope of	~을 기대하며
unify	(하나로)통합하다
subsistence crops	자급자족용 작물
subsistence	생존, 존재, 생계
in-group	내집단
a group of	한 무리의
a cluster of	한 무리의
a school of	한 무리의
side by side	나란히
standardized	획일적인, 표준화된
kind	종류
soundly	온전히
intactly	온전히
verbalize	발화하다,말하다
with effect	효과적으로
unless	~하지 않는 한
basest	가장 기본적인
prize money	상금
look around	주위를 둘러보다
shaking	떨리는
in a minute	바로, 즉각
free will	자유 의지
enter	참여하다
speechless	말문이 막힌
in distress	곤경에 처한
one's full strength	전력
victorious	승리의
by virtue of	~때문에
remodel	리모델링하다, 개축하다
builder	건축업자
assistance	도움
clutch	꽉쥐다
endow	기부하다
under construction	공사중인
on one’s way	~가는 길에
be dying to ~	~하고 싶어 죽을 지경이다
be eager to ~	간절히 ~ 하고싶다
long to ~	간절히 ~ 하고싶다
joyfully	기쁘게
merrily	기쁘게
with delight	기쁘게, 기꺼이
publishing house 20	출판사
make sure that	반드시 ~을 하다
disappointment	실망
letdown	실망
silly	바보 같은
price	가치
worth	가치 / 가치가 있는
of value	가치있는
pay­off	이득
of consequence	중요한
work ~ out	~을 파악하다
care about	관심을 두다, 걱정하다
place value on	~에 가치를 두다
do well	성공하다
self­worth	자아 존중감
self­doubt	자기 의심
objectively	객관적으로
open	진솔한
smooth	순조로운, 원활히 진행되는
invention	꾸며 낸 이야기, 창작
stored	저장된
make ~ up	~을 꾸며 내다
distrust	믿지 않다, 의심하다
discredit	믿지 않다, 의심하다
wind up ~ing	결국 ~하다
around + 숫자	약, 대략
about + 숫자	약, 대략
dust	먼지
in the sense of	~이라는 의미에서
e­reader	전자책 단말기
a third	3분의 1
disallow	거절하다, 허가하지 않다
entrance	입학, 입장
master’s degree	석사 학위
fine arts	순수 미술
hands­on	직접 해 보는
experience	경험 / 겪다
participation fee	참가비
goat	염소
pick	따다, 줍다
rain or shine	날씨에 상관없이
aquarium	수족관
musical instrument	악기
care for	~을 관리하다, ~을 돌보다
keep an eye on	~을 관리하다, ~을 돌보다
drop	하락하다
of worth	가치가 있는
lit	light의 과거/과거분사
predictably	예측 가능하게
sense of control	통제감
hold ~ in	~을 참다
sentimental	정서적인, 감정적인
withhold	주지 않다, 보류하다
holdback	보류하다
calm	차분한, 온화한
upset	화난; 화나게 하다
calm ~ down	~을 진정시키다
relax	~을 진정시키다
act as	~으로 작용하다
sweet	사탕, 단 것
effectual	효과적인
bored	지루한
water­dwelling	물에 사는
moist	촉촉한
take a dip	(몸을) 잠깐 담그다
every now and then	이따금
keep from	~을 막다
lay	(알을) 낳다
metamorphosis	탈바꿈
land­dwelling	육지에 사는
legally	법적으로
physically	물리적으로
meaning	의미
gatekeeper	정보 관리[통제]자
let in	~을 들여보내다
authorization	허락, 허가
fanbase	팬층
rising	증가하는
growing	증가하는
increasing	증가하는
connect	연결, 관계
