foam rubber	발포 고무
rubber	고무
chemical fomula	화학식
hydrogen	수소
atom	원자
all the time	항상
spell ~ out	~을 상세히 다 쓰다
get better	발전하다
defining	결정적인, 정의하는
on a daily basis	매일
earthshaking	지축을 흔드는, 획기적인
tiny	작은, 사소한
minute	작은, 미세한
native	토착의, 지방 고유의
excessively	몹시, 매우, 심하게
head off	~로 향하다
wilderness	미지의 땅, 황무지
pair	짝
stranger	모르는 사람, 낯선 사람
chat	이야기하다
chatter	이야기하다, 수다떨다
nearby	근처의
report	말하다, 전하다
the other person	상대
trip	넘어지다
tumble	넘어지다
give it another shot	다시 시도해 보다
shame	애석한 일, 수치
rewire	재연결하다
network	연결망, 네트워크
neuron	뉴런, 신경 세포
brain-friendly	뇌 친화적인
hit­and­miss	마구잡이의
at random	마구잡이로
fire	활성화되다
wire	연결되다
passer-by	지나가는 사람, 행인
deerskin	사슴 가죽
round up	~을 몰다
doe	암사슴
fearlessly	두려움 없이
palace	궁궐
mourn	애도하다
grieve	애도하다
pain	고통
redesign	다시 설계하다M
suit	적합하다, 잘 맞다
once	일단 ~하면
in awe	경외심을 가지고
throw away	버리다
at a loss	어쩔 줄 모르는
elude	피하다
shut out	차단하다
in large part	대체로
substandard	기준 이하의
prone	~할 것 같은
strained	긴장이 되는, 긴장한
openly	터놓고, 개방적으로
aggression	공격성
of the essence	중요한 / 필수적인, 중요한
followed by	그 다음, 이어서
compacted	빡빡한, 꽉 찬
cleft	갈라진 틈
grayish	회색의
insincere	진실되지 못한, 가짜의
impact on	~에 영향을 주다
eyelid	눈꺼풀
cross­section	횡단면
catastrophic	큰재앙의, 비극적인
ever­changing	끊임없이 변화하는
result from + 원인	~이 원인이다
unnatural	비정상적인
yearly	매년의, 연간 / 매년마다의, 연례의
be supposed to 31	~하기로 되어 있다
have difficulty ~ing	~하는 데 어려움을 겪다
unburden	짐을 덜다, 벗어나게하다
take a load off	짐을 덜다
be apt to do	~할 가능성이 있다
double­edged sword	양날의 검
unheard­of	들어본 적이 없는
music­distributor	음악 배급자
preselector	사전선택자
sociocultural	사회 문화적인
distantiation	거리두기
distancing	거리두기
unite into	~에 통합시키다
closely	밀접하게
plague	전염병
influenza	독감
overcrowding	인구 과밀
sanitation	위생
pioneering	선구적인
sewer system	하수처리 시스템
face­like	얼굴처럼 보이는
preferable	선호되는, 바람직한
explore	분석하다, 탐구하다
well­known	잘 알려진, 유명한
famed	잘 알려진, 유명한
weakness	약점
frailty	약점
the other party	상대방
certainly	분명히
combat	싸우다
superficial	표면적인, 피상적인
pond	연못
displace	바꾸어 놓다, 옮기다
organisms	유기체
grassland	초원
meadow	초원, 목초지
signify	의미하다
trophic	영양의
toilet paper	두루마리 화장지
public resource	공공재
remove	제거하다 / 제거하다, 치우다
reappear	다시 나타나다
fear	두려움
socializing	사회화, 사람을 사귀는 것
tricky	까다로운
difficult	까다로운
inanimate	생명이 없는, 무생물의
get used to	~에 익숙해지다
get accustomed to	~에 익숙해지다
in response to	~에 반응하여
under control	통제 하에 있다
endlessly	끊임없이
incessantly	끊임없이
successively	끊임없이, 연속적으로
principles	원칙
rust	녹
soil	더럽히다
equality	평등
equity	평등, 공정
be sure to	확실히 ~하다
seem to	~인 것 같다
offer	제공하다
obliged	감사하는
look forward to –ing	기대하다
glance at	(~을) 슬쩍 보다
for an instant	잠시 동안
for a few minutes	잠시 동안
rub	문지르다, 비비다
scrub	문지르다, 비비다
rob	빼앗다
lie(-lay-lain)	눕다, 존재하다
set about to	~하려고 하다
a point of view	관점
activity	능동성
anthropologist	인류학자
dirt	더러운 것, 먼지
classifying	분류
open-minded	열린 마음의
narrow-minded	속좁은, 편협한
faith	믿음, 확신
conclusions	결론
wrap-up	결론
draw a conclusion	결론을 내리다
maybe	아마도
be convinced	확신하다
vegan	(극단적)채식주의자
omnivore	잡식동물
poultry	가금류(닭·오리·거위 등)
nutritionally	영양학적으로
certain + 명사	특정한
resulting	그 결과인, 그에 따른
pollution	오염
medical insurance	의료보험
be packed with	~로 가득 차 있다
be charged with	~로 가득 차 있다
