advertising	광고
dialect	방언
librarian	사서
only if	오작 ~할 때만
outdoor	야외의
economic	경제의
stagnation	경기침체, 불경기
earning	수입
leakage	누수, 누출
reciprocal altruism 30	상호이타주의
primates	영장류
immediate family	직계 가족
leftover	나머지
go bad	상하다
these days	최근 / 오늘날, 요즘
high­end	최고급의
fixed­gear	고정식 기어의
profitability	수익성
biologist	생물학자
in order to	~하기 위해서
bewildering	혼란스러운
in public	공공연하게
show ~ off	드러내다
space	공간, 영역
by the way	한편
conclusively	결론적으로
pull together	모으다
unfinished	끝나지 않은
reexamine	재점검하다
be logical	합리적이다
monocultural	단일문화의
multicultural	다문화의
cultural	문화적인
lead to + 결과	야기하다
researcher	연구원
pretend to	~인 체하다
front lawn	앞마당
pain reliever	진통제
pain killer	진통제
alertness	각성
not always	항상 ~한 것은 아니다
reach a deal	성사하다
the rest of	~의 나머지
discussion	토론
added	부가적인
during	~동안
thirst	열망
find out	알아내다
failure	실패
brief	간단한
sticky	끈적거리는
facing	정반대의
moisten	적시다
elsewhere	다른 곳으로
dissatisfied	불만족한
thief	도둑
carry away	운반하다
expensive­looking	비싸 보이는
luxurious	호화로운
asleep	잠든
hurriedly	서둘러
lift	들어 올리다
to one’s surprise	놀랍게도
under his breath	작은 목소리로
businessman	장사꾼
to the core	뼛속까지
president	회장
aware	인식하는, 알고 있는
pretty	꽤
daydream	상상에 잠기다
tune	맞추다, 조절하다
greeting	인사
a great deal of	많은, 상당한
when it comes to 21	~에 관해
pump	배출하다
greenhouse gas	온실가스
scapegoat	희생양
drill	시추하다, (구멍을) 뚫다
electricity	전기
unrefined	가공하지 않은
slap	때리기
valueless	가치없는
prime	최적의, 기본적인
used to	~했었다, ~하곤 했다
fundamentally	기본적으로, 근본적으로
religion	종교
desired	바람직한
selfhood	정체성, 자아
self	자아
flying acrobatics	곡예비행
advantageous	유익한, 이로운
earthworm	지렁이
uptake	흡수
on average	평균적으로
blocker	방해물
acidic	산성의
buildup	축적
nowadays	오늘날, 요즘
captive breeding	포획 사육
life stage	생애 주기
hatch	부화하다
adulthood	성체
from now on	지금부터
heart failure	심장 부전
no less	역시
as far as	~하는 한
unimpaired	손상되지 않은, 온전한
hold in memory	기억하다
on a regular basis	규칙적으로
hypothesize	가설을 세우다
chances are(that)	아마도
run after	추적하다
neural circuit	신경회로
prediction	예측
lure	가짜 미끼, 유혹하다
attractant	유인 물질
invisibility	불가시성, 보이지 않음
grab hold of	~을 움켜쥐다
unceasingly	끊임없이
radicalize	과격하게 만들다
brick-and-mortar	오프라인 거래의
be replaced by	~로 바뀌다
snowballed	눈덩이처럼 불어나다
by one’s nature	원래, 본질상
popularization	일반화, 대중화
malnutrition	영양실조
draw up	흡수하다
whole food	자연 식품
pill	알약
prevent A from –ing	A가 –하는 것을 막다
keep A from –ing	A가 –하는 것을 막다
pollute	오염시키다
gamble	도박
overpriced	비싼
kinetic energy	운동 에너지
potential energy	위치 에너지
sweep	쓸어내리다
unequipped	갖춰지지 않은
black-or-white	양자택일의, 흑백의
oversimplify	지나치게 단순화하다
overgeneralize	지나치게 일반화하다
changeover period	전환기
genetic determinism	유전자 결정론
destined to	~할 운명인
misery	비참
predetermine	미리 결정하다
racially	인종적으로
oppressive	억압적인
choiceless	선택권이 없는
long-lived	지속적인
expectantly	기대에 부풀어
whatever	무엇이든지
how come	어째서
cheerfully	기분 좋게
thoughtfulness	사려 깊음
