fundraising	모금
ardor	열정
finalist	최종 입상 후보자
wipe	문질러 닦다
applause	박수갈채
clapping	박수갈채
army	군대
wisdom	지혜
turn into	변하다
job search	구직 활동
target	목표
logically	논리적으로
sheep	양, 어리석은 사람
down time	가동되지 않는 시간
in haste	서둘러
cut back on	~을 줄이다
at one’s best	최상의 수준으로
pay attention	주의를 기울이다
be based on~	~에 기반을 두다
railway	철도
air-conditioning	냉방(기)
hardly (ever)	거의 없게
transformative	(사람을) 변화시키는
communicate	전달하다
ups and downs	좋은일과 궂은 일
psychosocial	심리 사회적인
wellbeing	행복
learning material	학습 자료
known for	~으로 알려진
come in handy	도움이 되다
flower arrangement 27	꽃꽂이
cancellation	취소
get along with	~와 잘 지내다
race	인종
way	방식
feather	깃털
flock	모이다, 무리 짓다
be conditioned to	~에 조건화되어 있다
unfamiliar	친숙하지 않은
likeness	유사점
painful	고통스러운
hurting	고통스러운
aching	고통스러운
have an influence on	영향을 미치다
unflattering	호의적이지 않은
humanize	인간미 있게 하다
boring	지루한
finest	가장 훌륭한
on and on	계속해서
main character	주인공
up front	대놓고
heroic	대담한, 영웅적인
tragic	비극적인
face-to-face	대면의
shoelace	신발 끈
pivotal	결정적인, 매우 중요한 / 중요한
exotic	외국산의, 이국적인
mild	부드러운
soda	탄산음료
unknown	알려지지 않은
unrevealed	알려지지 않은
well-rested	잘 쉰
contrariwise	반면에, 대조적으로
inhuman	비인간적인
rootedness	뿌리내림
at the death	종말에 처한
legendary	전설의
gathering	수확
funny	기이한
redistribute	재분배하다
poison	오염시키다, 중독시키다
shorten	줄이다
impatience	조급함
cut ~ off	끼어들다
cut in	끼어들다
in traffic	차량 흐름에서
splash	(액체류를) 튀기다
pen	(글을) 쓰다
middle-aged	중년의
come upon	~을 만나다
unwelcoming	불친절한
helplessly	힘없이
be on	~에 참여하다
must have p.p.	~했었음에 틀림없다
should have p.p.	~했어야 했는데
take~off	분리하다
take A to B	A를 B로 데려가다
spread across	~에 퍼지다
get dressed	옷을 입다
get to	~에 도착하다
swing set	그네
unproductive	비생산적인
ineffective	비생산적인, 비효율적인
enable	~하게 해준다
physiology	생리학
nod one’s head	고개를 끄덕이다(Yes)
shake one’s head	고개를 가로젓다(No)
in agreement	동의하며
be entitled to	~할 만큼 가치있다
unreliable	신뢰할 수 없는
undependable	신뢰할 수 없는
untrustworthy	신뢰할 수 없는
poorly	좋지 못하게
mislead A into B	A를 속여 B하게하다
deceive A into B	속이다
reckon	계산하다
instances	사례들
sort A into B	A를 B로 분류하다
classify A into B	A를 B로 분류하다
categorize A into B	A를 B로 분류하다
draw a blank	반응을 끌지 못하다
schoolmate	학교친구
well-known for	~로 유명한
double	두배로 증가하다
promise	가능성, 가망
far + 비교급	훨씬 더
missing	빠져있는
lost	빠져있는
gone	빠져있는
deceiving	현혹시키는
faced	직면한
keep~rolling	지속하다
all in all	전반적으로
limitation	제약, 제한
breakout group	소모임 그룹
switch to~	~로 바꾸다
convert to~	~로 바꾸다
intellectually	지적으로
receptor	수용체
exercise wheels	운동용 쳇바퀴
upbringing	양육
coastal	해안가의
sea levels	해수면
future tense	미래시제
under way	진행중인
worthiness	가치
self-regard	자아존중, 자존감
subtract	(수,양을) 빼다
rush to talk	앞다투어 말하다
safeguard	보호하다
responsive	호응있는, 호의적인
forestall	방지하다
skid	미끄러지다
slide	미끄러지다
tread	접지면
imaginative	상상력이 풍부한
link A with B	A와 B를 연관시키다
relate A with B	A와 B를 연관시키다
couple A with B	A와 B를 연관시키다
at birth	태어났을때
youth	청소년
exposed to~	~에 노출된
authoritative	권위가 있는, 믿을 만한
raising	양육
active	능동적인
impotent	무기력한
excellence	탁월함, 뛰어남
bedtime	취침시간
volunteer	지원자
timeframe	시간대
remark on	언급하다
cardiovascular	심혈관의
hay	건초
sealed	밀봉된
pre-packed	사전 포장된
expand on	상세히 설명하다
rehear	다시 듣다
equip with	~를 갖추다
distracted	산만한
inattentive	산만한
broken	고장난
fixture	설비
warranty	상품 보증
abused	남용된
misused	남용된
indicate 22	(연구결과) 보여주다
overstimulate	지나치게 자극하다
end up with	결국~하게 되다
wind up with	결국~하게 되다
creatures	창조물, 생물
Darwinism	진화(다윈주의)
