returns	보상
courageous	용기있는
brave	용기있는
lionhearted	용기있는
coward	소심한, 겁많은
latent ability	잠재력
bald	머리가 벗겨진
specialise	전문으로 하다
outsource	위탁하다
dumber	어리석은 사람
stupid	어리석은
unintelligent	어리석은
wired up	타고난
somewhat	다소, 약간
unfounded	근거없는
assertive	적극적인, 단호한
dispatch	발송하다
minimise	최소화하다, 줄이다
maximise	최대화하다
opposable	마주 볼 수 있는
one-on-one	일대일
hidden	숨겨진
concealed	숨겨진
wastage	낭비
illegally	불법적으로
fast-paced	빠른 속도의
tourist industry	관광산업
hospitality industry	서비스업
hospitality	환대
escalation	상승
net sale	(세금뺀) 순 판매액
afford to~	~할 여유가 되다
attack	착수하다, 공격하다
vice versa	그 반대도 마찬가지다
awakened	각성된, 주의력있는
muse	영감
loose	느슨한
tune out	관심을 끄다
tune in	관심을 가지다
for a bit	잠시동안
in the short run	단기적으로
crowd out	몰아내다
drive out	몰아내다
associate A with B 39	A와 B를 연관짓다
qualitative	본질과 관련된, 질적인
bare	아무것도 거치지 않은
reproducible	재현가능한
run an experiment	실험하다
skeptical	회의적인
uncultured	미개한
revalue	재평가하다
reappraise	재평가하다
reassess	재평가하다
re-evaluate	재평가하다
faithful	충성스러운
raise salary	월급을 인상하다
look forward to~ing	학수고대하다
fall over	~에 걸려 넘어지다
be injured	부상을 입다
shamelessly	뻔뻔스럽게
entertaining	재미있는
keep A from-ing	A가 -ing못하게 하다
prevent A from-ing	A가 -ing못하게 하다
likely to	가능성이 있는
liable to	가능성이 있는
be intended to	의도가 있다
result in~	~결과로 이어지다
get screened	검사를 받다
doom	파멸
gloom	우울, 침울
equator	적도
bring up an idea 24	아이디어를 내놓다
close off	폐쇄시키다
the way it is	원래 그런, 있는 그대로
beside	~의 옆에
on foot	걸어서
mind-blowing	놀라운
specific to	~에 특화된
tip	끝
consequentially	결과적으로
specialized in	~에 전문화된
self-sufficiency	자급자족
afford to	~할 여유가 있다
irresistible	저항할 수 없는
stay off	멀리하다
ecologist	생태학자
automation	자동화
irreplaceable	대체할 수 없는
equalize	동등하게 하다
make even	동등하게 하다
run short	부족하다
salt content	염분
journal	쓰다
graduate student	대학원생
adapt to~	~에 적응하다
adjust to~	~에 적응하다
conform to~	~에 적응하다
overload	과부하가 걸리게 하다
hand on	전달하다
peaks and valleys	정점과 저점
characterise	특징짓다
take a while	얼마간의 시간이 걸리다
warm up	준비되다
push aside	~을 밀쳐 놓다
shove aside	~을 밀쳐 놓다
rubber stamp	고무도장
bathing suit	수영복
religious service	종교 예식
seaside resort	해안가 휴양지
coast-to-coast	대륙 횡단의
lead~off	~를 벗어나게 이끌다
designed	의도한
be poor at	~에 서투르다
recompense	보상을 주다
breathe	호흡하다, 숨쉬다
superhuman	초인적인
employment	고용
unsatisfying	만족스럽지 못한
unsatisfactory	만족스럽지 못한
increase	증가하다
except	~을 제외하고
even so	그럼에도 불구하고
look for	~을 찾다
justifiable price	합리적인 가격
modernization	현대화
differ	다르다
biological clock	체내 시계
embark on	~에 착수하다
overoptimism	지나친 낙관주의
time frame	기간
give attention	주의를 기울이다
there is no point	~하는 것은 무의미하다
gear up for	~를 위해 준비하다
prepare for	~를 위해 준비하다
countryside	시골
bunny	토끼
creator	창조자
clothing	옷
perfect	완성하다
cloth	천, 직물
presently	머지않아, 곧
in harmony	조화롭게, 한마음이 되어
bring~into existence	~을 생겨나게 하다
focus	초점
construe	해석하다
pray for	~을 간절히 바라다
tale	이야기
evil	사악한
stepsister	의붓자매
Old Stone Age	구석기 시대
in search of	~을 찾아
divide up	나누다
grow	재배하다
toolmaker	도구 제작자
ax	도끼
mineral	광물
crystal	결정, 결정체
partially	부분적으로
unaided eye	육안, 맨눈
be released	방출되다
be delivered	전달되다
excluding	~외에, ~을 제외하고
