lecturer	강사, 강연자
description	설명, 묘사
depending upon	~에 따라
relying on	~에 따라
product review	상품 평
hassle	성가신 일
in demand	수요가 많은
as a rule	대개
piece	(장기, 체스의) 말, 조각
narrow	줄어들다
musical notation	악보
smelly	냄새가 나는
get off	~에서 내려오다
sword	칼
scare ~ away	~을 겁주어 쫓아내다
not only A but B	A뿐만 아니라 B도
unforgettable	잊지 못할
midnight	자정
crowd	군중, 무리
mob	군중, 무리
personal	개인적인
private	개인적인
care	관심을 가지다
post-	-후
pre-	-전
unpaid	무보수의
word-of-mouth	구두의, 구전의
viral marketing	입소문 마케팅
leisure	여가
off-load	떠넘기다
get used to~ing	~에 익숙해지다
value-added	부가가치의
a majority of	다수의
general public	일반 대중
fair-minded	공정한
fictional	허구적인, 소설의
high school senior	고3 학생
harmonize with	~와 잘 지내다
socioeconomic	사회 경제적인
industrialized	산업화된
urgency	긴급
lack the time	시간이 부족하다
run out of time	시간이 부족하다
political	정치적인
be dissatisfied with	~에 불만족하다
be displeased with	~에 불만족하다
doctoral paper	박사 논문
for free	무료로
analytically	분석적으로
self-image	자아상
yeast	효모
look up to	존경하다
distantly	멀리서
remotely	멀리서
unprocessed	가공되지 않은
sensory organ	감각 기관
lift up	들어올리다
bite down	꼭 깨물다
lengthwise	세로로
make face	얼굴을 찌푸리다
livestock	가축
aeroplane	비행기
division of labor	분업
specialize in	~을 전문으로 하다
tempo	속도
tack	추적하다
wiring	연결(상태)
nearly	거의
spoiled	상한
conjunction	결합
crowded	빽빽한, 밀집한
add up to	결국~이 되다
load up on	~로 배를 가득 채우다
hunter-gatherer	수렵·채집인
practice medicine	의술을 시행하다
specialize	전문적으로 다루다
politely	공손히
without question	확실히, 분명히
piece of cake	식은 죽 먹기
pin	꼼짝 못하게 하다
handhold	손으로 잡을 수 있는 곳
pressure wave	기압파, 압력파
two-way	양 방향의, 쌍방의
restate	다시 말하다
retell	다시 말하다
publication	출판, 발표
silently	아무 말없이, 잠자코
unattractive	매력적이지 못한
misrepresentation	왜곡
segregate	차별하다(성, 인종)
innovator	혁신자, 도입자
go for~	~에 해당되다
be equivalent to	~에 해당되다
accountant	회계사
moving	이사
disoriented	방향 감각을 잃은
rationality	논리, 합리성
statistically	통계적으로
make light of	경시하다
interpret A as B	A를 B라고 해석하다
qualitatively	질적으로
quantitatively	양적으로
castration	거세
disempower	~로부터 힘을 빼앗다
biography	전기(傳記)
witty	재치 있는
sole	유일한
ending	말단
tissue	(세포들로 이뤄진) 조직
protective	보호하는, 보호용의
defensive	보호하는, 보호용의
motor nerve	운동 신경
crystal lattice	결정격자
attach A to B	A를 B에 붙이다
eardrum	고막
flex	굽이쳐 움직이다
segment	(여러 부분으로)나누다
inbox	전자우편 수신함
good(=goods)	상품
replenish	보충하다
unchanging	꾸준한, 한결같은
surgeon	외과 전문의
scrubs	(외과 의사의) 수술복
distinctiveness	독특함
slight	약간의
founded	근거가 있는
well-grounded	근거가 있는
baseless	근거가 없는
ship	수송하다, 운송하다
footprint	발자국
lamb	어린 양
pastureland	목초지
brick	벽돌
trip over	발이 걸려 넘어지다
ad(advertisement)	광고
apply for	지원하다, 신청하다
apply to~	~에게 적용되다
look forward to ~ing	~하는 것을 학수고대하다
lose track of	~을 놓치다
lose sight of	~을 놓치다
succeed in	해내다
well-run	잘 운영되는
be likely to ~	~할 것 같다
commonsense	상식적인
else	그 밖의
put it	말하다
fiction	소설, 허구
bloodstream	혈류
oral	구두의, 입의
