make out	알아보다, 식별하다
dim	희미한
gestural	몸짓의
shake head	고개를 흔들다(No)
willing to	기꺼이 ~하는
eager to	기꺼이 ~하는
distract from	집중이 안 되게 하다
embryo	배아
unborn	태어나지 않은
grade school	초등학교
based upon	~을 기반으로
a wealth of	수많은
internalization	내면화
provided that	(만약) ~라면
pronunciation	발음
fine-tune	미세하게 조정하다
in pursuit of	~을 추구하여
in ~ fashion	~한 방식으로
in ~ way	~한 방식으로
relate A to B	A를 B에게 전하다
share A with B	A를 B와 공유하다
apt to	~할 것 같은
strike (as)	(~라는 인상을) 주다
appear to	(~라는 인상을) 주다
in some manner	어떻게든
lie within	~안에 존재하다
exist in	~안에 존재하다
have a clue	짐작하다
on the tip of one’s tongue	당장 떠오르지 않는
overtired	극도로 지친
a sequence of	연속된
make a face	찡그리다
conductive	전도력이 있는
electrical current	전류
odor	냄새(보통 불쾌한)
mow	(잔디를) 깎다
knee-jerk	자동적인
automatic	자동적인
in contrast to	~와 대비되는
comedy	희극
inner	내부의
outer	외부의
drink in	흡수하다
squeeze	압착하다
off-and-on	반복적인
self-constructed	스스로 구성해 낸
self-built	스스로 구성해 낸
pushback	저항
linear	직선의, 선형의(순서대로)
come up short	부족하다
fall short	부족하다 / 기대이하의 성과를 내다
by definition	정의상, 당연히
insulating	차단하는
separating	차단하는
quantify	수량화하다
coordinator	조정자, 담당자
designed to	~하도록 설계된
intended to	~하도록 의도된
meant to	~하도록 의도된
be ruined	망쳐졌다
surprise	놀라게 하다
astonish	놀라게 하다
sheer	순전한
convenience	편리함
procrastinate	(일을) 미루다
sorting	(우편 등) 분류하다
stay in touch	연락을 유지하다
keep in contact	연락을 유지하다
interact with	~와 어울리다
be related	관련되다
be associated	관련되다
be interlinked	관련되다
do nothing for	~에 도움이 되지 않다
be ineffective for	~에 도움이 되지 않다
in this sense	이런 의미에서
referee	심판
infraction	위반, 반칙
without fail	어김없이, 언제나
from a distance	멀리서
interrelated	상호 연결된
generalist	박식한 사람
co-occurrence	동시 발생
flawed	잘못된, 오류가 있는
erroneous	(생각,정보) 잘못된
tear down	철거하다
overprice	너무 비싼 값을 매기다
underprice	너무 싸게 값을 매기다
market adoption	시장 점유, 시장 수용
optimize	극대화하다
in most respect	대부분의 측면에서
ape	유인원
pup	새끼
give birth to	~을 낳다
experimentally	실험적으로
refute	반박하다
folktale	민간 설화
draw upon	~을 이용하다
build upon	~을 기반으로 하다
archaeology	고고학
invader	침입자
overextended	과도하게 확장된
overstretched	과도하게 확장된
overexpanded	과도하게 확장된
overexpansion	과도한 확장
oversimplification	지나친 단순화
recognized	인정받는
acknowledged	인정받는
persevere	인내하다
underperform	기대이하의 성과를 내다
shunt	방향을 돌리다
nerve endings	신경 말단
anesthetize	마비시키다
numb	마비시키다
bid	입찰, 시도
upside	긍정적인 면, 장점
auction	경매
rash	무모한
impulsive	무모한
careless	무모한
retired	퇴직한
soaked	흠뻑 젖은
drenched	흠뻑 젖은
jiggle	(발 등을) 까딱거리다
pressing demands	긴급한 요구
urgent needs	긴급한 요구
breathe in	들이마시다
breathe out	내쉬다
vaporize	증발하다
on a grand scale	거대한 규모로
on a large scale	거대한 규모로
massively	거대한 규모로
caretaker	관리인, 임시 보관자
nonliving	비생물의
compost	퇴비
meditative	명상적인
contemplative	명상적인
ultraviolet	자외선의
inaudible	들을 수 없는
death rate	사망률
regression	퇴보
influential	영향력 있는
biomedical	생의학의
odyssey	긴 여행
prohibition	금지
mammalian	포유류의
react to	~에 반응하다
stand their ground	자리를 지키다
enclosure	울타리, 우리
leap up	도약하다, 뛰어오르다
resources	자원
in one’s interest	~의 이익에 부합하는
happen upon	우연히 만나다
friendliness	환대
ethnic group	부족, 민족 집단
disconnection	단절
