highs and lows	기복, 오르내림
fluctuations	기복, 변동
breakup	(연인의) 결별, 이별
squeeze A into B	A를 B에 밀어 넣다
cram A into B	A를 B에 밀어 넣다
overpowering	압도적인
debt	빚
accustomed to	~에 익숙한
conversion	변화, 전환
fossil fuels	화석 연료(석탄,석유 등)
dig out	발굴하다
undermining	훼손하는
impairing	훼손하는
beings	존재, 생명체 / 존재들
autonomously	자율적으로
endowed	부여받은
granted	부여받은
hibernate	동면하다
reptile	파충류
stock up on	~을 비축하다
reabsorb	재흡수하다
ranger	관리원
exert a force	힘을 가하다
apply a force	힘을 가하다
fraction	파편, (수학) 분수
rub on	마찰하다, ~에 문지르다
nonlinear	비선형의(자유롭게 접근)
non-sequential	비순차적인
rewind	되감다
typewriter	타자기
keystroke	키 입력
delete	삭제하다
erase	삭제하다, 지우다
morale	사기, 의욕
intend to	의도하다
mean to	의도하다
slapstick	슬랩스틱 (익살극)
neutrality	공정, 중립성
flatness	평면성
unrecognizable	알아볼 수 없는
salesperson	판매원
rote	기계적인, 반복된
untrained	훈련받지 않은
cornered	궁지에 몰린
rush	서두름
in case	~의 경우에 대비해
cafeteria	구내식당
aimlessly	목적 없이
cannot help but	~ 하지 않을 수 없다
can’t stop ~ing	~ 하지 않을 수 없다
invested in	~에 헌신적인, 관심을 쏟는
indifferent to	~에 무관심한
regeneration	재생, 재개발
housing	주거
overdue	(논의가) 늦어진
kidney	신장, 콩팥
unclear	모호한, 막연한
take action	조치를 취하다
melting pot	용광로(다문화 비유)
historian	역사학자
nondiscrimination	비차별
aggregation	응집
proto-star	원시별
planned	설계된
designated	지정된, 정해진
electron	전자
nationality	국적
congress	의회
be elected to	~에 선출되다
be chosen for	~에 선출되다
be voted into	~에 선출되다
proven otherwise	다르게 증명되다
disproved	(틀림이) 증명되다
humbleness	겸손
millennia	수천 년
values-driven	가치 지향의
answerability	책임성
durability	지속성, 내구성
presumed	가정된
iron	철
miscalculation	계산 착오
physiologist	생리학자
echo back	반향하다, 되돌아오다
pull apart	분리하다
bi-directionality	양방향성
passionate about	~에 열정을 가진
enthusiastic about	~에 열정을 가진
lazily picture	성의없이 상상하다
function as	~로서 작용하다
independent from	~로부터 독립한, 분리된
periodic	주기적인
multisensory	다중감각의
scrutiny	면밀한 조사
chewing	씹기
exposed to	~에 노출된
open to	~에 노출된
automatically	자동적으로
unconsciously	무의식적으로
put~to shame	부끄럽게 하다
metrics	측정기준
measures	측정
genetically	유전적으로
pheromonally	페로몬에 의해
harmonious	조화로운
in harmony with	~와 조화를 이루어
in tune with	~와 조화를 이루어
hexagonal	육각형의
functionable	기능하는, 쓸 수 있는
indefinitely	무기한으로
partner with	~와 협력하다
work with	~와 협력하다
driven	동기부여된
inspired	동기부여된 / 영감을 받은
illusory	착각의
preexisting	이미 존재하는
head start	앞서 나감, 유리함
early lead	앞서 나감
originality	창의성, 독창성
convergent	수렴하는, 모이는
derivative	파생적인
imitation	모방
recurring	반복적인
billionaire	억만장자
broke	무일푼의
newsstand	가판대
forthcoming	다가오는, 곧 있을
twinkling	반짝이는
stir	(마음을)흔들다, 동요시키다
open up to	~에게 마음을 터놓다
tried-and-tested	입증된, 신뢰할 수 있는
bond with	~와 유대감을 형성하다
connect with	~와 연결되다(소통하다)
detach from	~와 떨어지다, 분리되다
revealing	(의미심장하게) 드러내는
embodied	육체를 가진
far-reaching	(영향·결과가) 광범위한
liking	선호
keen to	~를 열망하는
readjust	재조정하다
nutty	견과류같은
stand up for	~을 옹호하다
bundling	묶기
opt to	~하는 것을 선택하다
useful	유용한
conceptualization	개념화
developing world	개발 도상국
developed world	선진국
simulate	모방하다
indecision	망설임
mistake A with B	A를 B와 착각하다
incompetence	무능력
devalue	과소평가하다
informally	비공식적으로
unofficially	비공식적으로
separate from	~과 상관없이, ~과 별개로
ingroup	내집단
outgroup	외집단
dislike	싫어하다, 반감
rebellious	반항적인
prosocial	친사회적인
by the time~	~할 때쯤
catchphrase	유명 문구
be viewed as~	~로 간주되다
get lost	사라지다
multilayered	다층화된
become rooted in	~에 정착하다(뿌리내리다)
be settled in	~에 정착하다
be fixed in	~에 정착하다
sustainably	지속 가능하게(환경)
eco-friendly	친환경적으로
present A as B	A를 B로 제시하다
offer A as B	A를 B로 제시하다
put forward A as B	A를 B로 제시하다
methodological	방법론적인
impressive	인상적인
bleak	황량한
desolate	황량한
underparenting	자율육아방식
on their own	혼자 힘으로
by themselves	그들 스스로
populate	(~에) 살다, 거주하다
disturbingly	불안하게 할 정도로
press	강요하다
racial minority	인종 소수자
trumpeting	(트럼펫)자랑하며 알리는
geared for	~에 맞춰진
adjusted for	~에 맞춰진
adapted for	~에 맞춰진
derive A from B	B로부터 A를 끌어내다
extract A from B	B로부터 A를 끌어내다
draw A from B	B로부터 A를 끌어내다
