on one's way to	~로 가는 길에
bound for	~로 향하는
without hesitation	망설임 없이
make it in time	제시간에 도착하다
settle into	~에 자리를 잡다
encouragement	격려, 장려
catch	(관심을) 사로잡다
in theory	이론상으로는
on paper	서류상으로는, 이론상으로는
self-defense	자기방어
self-protection	자기보호
self-destruction	자기파멸
it is probable that	~할 확률이 높다
it is likely that	~할 가능성이 있다
prospectively	장래에, 잠재적으로
breadth	폭
width	너비
narrowness	좁음
fail to do	하지 못하다
make amends	보상하다
ruinous	파괴적인
substitute B for A	A를 B로 바꾸다
change A to B	A를 B로 바꾸다
difficulty	어려움, 곤경
rebalance	다시 균형을 맞추다
ever-changing	끊임없이 변화하는
walks of life	각계각층, 신분
relevance	적절성, 타당성
appropriateness	적절성, 타당성
suitability	적합성, 알맞음
applicability	적용 가능성, 타당성
irrelevance	무관함, 부적절성
insignificance	무가치, 하찮음
timeless	시대를 초월한
ageless	시대를 초월한
go beyond	~을 넘어서다, 초월하다
take into consideration	~을 고려하다
block out	차단하다, 가리다
unresisting	순종하는
microscopic	극히 작은, 미시적인
macroscopic	대규모의, 거시적인
rich	풍부한
divide between	~ 사이에서 나누다
basic	기본적인, 기초적인
incapable of	~할 능력이 없는
be well-equipped to	~할 채비가 잘 되어 있다
be ready to	~할 준비가 되어 있다
be prepared to	~할 각오가 되어 있다
in light of	~에 비추어,~을 고려하여
in view of	~의 관점에서
ice sheets	얼음층
unsafe	안전하지 못한, 위험한
eruption	폭발, 분출
blast	폭발
intensively	집중적으로
concentratedly	집중적으로
plainly	명백하게, 숨김없이
mindful	염두에 두는, 의식하는
chunk	덩어리
bring to mind	~을 떠올리다
of one's own accord	자발적으로
spontaneous	자발적인, 자연스러운
forced	강제적인
look on A as B	A를 B로 여기다
prevent A from v-ing	A가 ~하는 것을 막다
stop A from v-ing	A가 ~하는 것을 막다
keep A from v-ing	A가 ~하는 것을 막다
ban A from v-ing	A가 ~하는 것을 막다
convinced	확신하는
launch into	~을 시작하다
set about	~을 시작하다
exhilarating	짜릿한, 아주 신나는
cannot help but v	~하지 않을 수 없다
cannot help v-ing	~하지 않을 수 없다
have no choice but to	~할 수밖에 없다
