abroad	해외로
amuse	기쁘게 하다
childish	유치한
collect	모으다
diary	일기
expect	기대하다
famine	굶주림, 기근
fare	요금
flea	벼룩
fresh	신선한
glove	장갑
globe	지구
mess	지저분함 / 어지러움, 지저분함
liter	리터 단위
roll	구르다
role	역할
vacation	방학, 휴가
amused	즐거운
embarrassed	당황한 / 창피한, 당황한
satirical	풍자적인
multipurpose	다목적의, 다용도의
general-purpose	다목적의, 다용도의
versatile	다목적의, 다재다능한
tournament	경연 대회
in one’s favor	을 선호하여
horseback riding	승마, 말 타기
pony	조랑말
swollen	물이 불어난, 부어오른
swellfish	복어
swirl	소용돌이치다
whirl	소용돌이치다
whirlpool	소용돌이
vortex	소용돌이
spiral	소용돌이, 나선
invent a story	이야기를 꾸며내다
neighboring	인접한, 가까이 있는
crux	본질, 핵심
human species	인류
differ from	~와 다르다
thirst for	~을 갈망하다
hunger for	~을 갈망하다
foundation stone	초석
civilize	문명화하다, 교화하다
civil	시민의, 정중한
hook A into B	A를 B로 끌어들이다
of all time	역대
skim through	훑어보다
in contrast to(with)	~와는 대조적으로
in opposition to	~와는 대조적으로
make-up	틀, 구조, 구성
treasured	값진, 높이 평가받는
highly regarded	값진, 높이 평가받는
hardwood	경재, 단단한 목재
high-quality	고급(의)
condense	응집하다, 압축하다
fell	(나무를) 베다
pedal-powered	페달로 작동되는
zookeeper	동물원 사육사
entrance fee	입장료
make a reservation	예약하다
godlike	신과 같은
look in on	~을 방문하다
call on	~을 방문하다
yearning	간절히 바라는
on the edge of ~seat	간절히 바라는
on pins and needles	간절히 바라는
zeal	열정
unspoken	입 밖에 내지 않은
nephew	(남)조카
niece	(여)조카
grassy	풀이 무성한
bank	강둑
let go of ~	놓다
likable	호감이 가는
lottery	복권
win the lottery	복권에 당첨되다
wittingly	일부러, 고의로
committee	위원회
treatment	치료, 처리, 대우
disagree	일치하지 않다
mistake A for B	A를 B로 착각하다
assigned	정해진
specified	정해진
appointed	정해진
break the ice	서먹한 분위기를 깨다
lighthearted	쾌활한, 명랑한
honored	영광인, 명예로운
senior school	(영국의) 고등학교
rearrange	재배치하다
redeploy	재배치하다
reassignment	재배치
independent	개별의, 독립적인 / 자치의, 자발적인
melodious	가락이 아름다운
be famed for	~로 유명하다
be renowned for	~로 유명하다
glorious	멋진, 아름다운
songster	고운 소리로 우는 새
labor practices	노동 관행
financial result	재무 성과
boycott	불매 동맹하다
do well to	~하는 것이 현명하다
make efforts	노력하다
consumerism	소비주의
fireplace	벽난로
nightly	밤의, 밤에 활동하는
broomstick	빗자루
cut into	~을 줄이다
retire for the night	잠자리에 들다
sleep soundly	푹 자다
shivery	떨리는
fringe	가장자리
periphery	가장자리
weird	이상한, 기이한
including	~을 포함해서
stuck	들러붙은
glued	들러붙은
procrastination	미루는 버릇
commit to~	~에 헌신하다
devote to~	~에 헌신하다
dreading	무서운, 끔찍한
flour	밀가루
herdsmen	목동들
nomadic	유목의
autonomous	자치의, 자발적인
either A or B	A나 B 둘 중 하나
attune to	~에 적응하다
give an account of~	설명하다
primate	영장류
in comparison with	~와 비교해서
thicket	덤불, 숲, 잡목
nocturnal	야행성의
tangle	얽히다,헝클어지다
satisfactory	만족스러운
courtesy	예의
establishment	기관, 시설
freckled	주근깨가 있는
peers	동료, 또래
cane	지팡이
meteorite	운석
goldsmith	금세공인
provable	입증할 수 있는
persuasion	설득
dissemble	숨기다, 감추다
overwhelmingly	압도적으로
trim	깎다
clip	깎다
unlikely	가능성 없는
implausible	가능성 없는
in the black	흑자로(이익되는)
in the red	적자로(손실인)
finer	더 미세한
puddle	웅덩이
intricately	복잡하게
complicatedly	복잡하게
involvedly	복잡하게
interconnect	상호 연결시키다
interlink	상호 연결시키다
maze	미로
muscular	건장한, 근육의
proportional	비례하는
car-oriented	자동차 지향적인
multiply	증식하다, 증식시키다
a slip of paper	종이 한 장
polarization	극성을 가짐, 극성
squint	곁눈질하다
peep(peek)	곁눈질하다
telltale	감추려 해도 드러나는
compliant	순응하는, 복종하는
