over the course of	…동안
given (that)	~을 고려해볼 때
opposed	반대의, 아주 다른
martial art	무술
overhaul	복구하다
put back	복구하다
re-establish	복구하다
nucleus	핵심, 중심
thrust and parry	찌르기와 막기
emulate	따라하다, 모방하다
unwilling	꺼리는, 내키지 않아하는
allot	할당하다, 분배하다
heighten	높이다, 향상시키다
graduate school	대학원
exclusive sale	독점판매
the ruling elite	지배층
imperative	강제적인, 피할 수 없는
hybrid	잡종의, 합성의
copycat	모방하는 사람
frank	솔직한, 노골적인
undisguised	솔직한
disguised	변장한, 속임수의
self-disclosing	자기 노출
fun-packed	재미로 꽉 찬
book a place	등록하다, 예약하다
washboard	빨래판
laundry	세탁물
commonplace	흔한
measure out	덜어내다, 떼어내다
spin-dry	탈수하다
detergent	세제
squeeze out	~을 짜내다, 몰아내다
self-help	자기계발
thriving	번성하는, 성대한
affectivity	정서, 감정상태
rack	선반
intimate	친밀한, 친숙한
ephemerality	단명, 덧없음
erasable	지울 수 있는
incinerator	소각로
hold off	연기하다, 미루다
unthinkable	상상도 할 수 없는
inconceivable	상상도 할 수 없는
fruition	성과, 결실
thresh	타작하다
commercially	상업적으로
garage	차고, 주차장
ritualized	의례적인
rough-and-tumble	저돌적인, 뒤범벅된
incompatible	서로 대립하는, 맞지않는
forager	수렵 채집 생활인
starvation	기아, 굶주림
premodern	근대 이전의
life insurance	생명보험
medical coverage	의료 혜택
semantics	(언어학) 의미론
companionship	동료애, 우정
inspirational	영감을 주는
fist	주먹
marvel at	~에 감탄하다
eye-catching	매력적인, 눈길을 끄는
fundraiser	모금 행사
admission fee	입장료
brochure	(안내․광고용) 책자
visual materials	시각자료
presenter	발표자
to my regret	유감스럽게도
regret ~ing	~를 후회하다
regret toV	~하게되어 유감스럽다
victoriously	승리를 거두어
make a list	명단을 작성하다
satisfied	만족하는, 만족스러운
revolving	회전
whirling	소용돌이치는
deceleration	감속, 감속도
take over from	~에게서 이어받다
formulate	만들어내다, 표현하다
body paragraph	본문
keenness	열정, 날카로움
keenly	날카롭게, 예민하게
mole	사마귀, 점, 두더지
through and through	하나부터 열까지
intimately	친밀히, 상세하게
double digits	두 자릿수
digitally	숫자로
decimeter	십진법
nervous breakdown	신경쇠약
cut through	~의 사이로 길을 내다
carbon monoxide	일산화탄소
carbon dioxide	이산화탄소
carbohydrate	탄수화물
poisonous	독이 있는
symptoms	증상
facilities	설비, 시설
silent	조용한, 소리 없는
embargo	금지하다
intuitively	직감적으로
sixth sense	직감, 육감
trivialize	과소평가하다, 비하하다
ethically	도덕적으로
on grounds of	~의 이유로
vanity	자만심, 허영심
self-conceit	자만심, 허영심
hang on	꽉 붙잡다, 참다
flocks	떼
unison	조화, 화합
concerted	합심한, 결연한
longitude	경도
spear	창, 투창
calf	송아지
glooming	어둑한
populous	인구가 많은
sobering	정신이 들게 하는
sober	맑은 정신인, 제정신인
portion out	분배하다, 나누다
move through	~를 진행하다
holistic	전체론의
limb	팔(다리), 사지
vividly	생생하게, 선명하게
fraternal twins	이란성 쌍둥이
identical twins	일란성 쌍둥이
immensity	큰 규모
nonrenewable	재생이 안 되는
choke	숨 막히다, 질식시키다
suffocate	숨 막히다, 질식시키다
tilt	기울다, 기울이다
incline	기울다, 기울이다
decimal point	소수점
limiting factor	제한 인자
trout	송어
steepness	가파름, 험준함
gymnast	체조 선수
get back	되찾다
sizeable	상당한
secretly	몰래, 비밀리에
on the sly	몰래
on the quiet	몰래
disgrace	불명예, 수치
misunderstand	오해하다
self-talk	자신에게 하는 말
monologue	독백
swear	맹세하다
archery	궁술, 양궁
businesspeople	사업가
practice range	골프 연습장
sin	도덕적 죄악
key goal	핵심 목표
psychiatrist	정신과 의사
general reader	일반 독자
pope	교황
professorship	교수직
become involved in	~에 참가하다
at all times	항상
pastoral	전원의
manuscript	원고, 필사본
postscript	추신
publisher	출판사, 출판업자
cutthroat	치열한
competently	적절하게, 유능하게
stand little chance at	가능성이 거의 없다
unreasonably	터무니없이
absurdly	터무니없이
ridiculously	터무니없이
higher-than-average	평균보다 높은
wrist	손목
mop	닦다
swab	닦다
shoot	세차게 나오다, 분출하다
spurt	분출하다
habituation	적응, 습관화
strive for	~을 얻으려고 애쓰다
make an effort	애쓰다, 노력하다
fall short of	~에 못 미치다
secret agent	비밀 요원
revolve around	~을 중심으로 돌아가다
be dependent on	~에 의해 좌우되다
crude oil	원유
the Middle East	중동지역
drive up	~을 증가시키다
utility bill	공과금 청구서
puzzling	당혹스럽게 만드는
suicide	자살
purchasing	구매
fire protection	방화
flow out	쏟아져 나오다
burn down	타 버리다, 전소되다
manually	손으로, 수동으로
in use	사용되는
perforate	구멍을 내다
in the proper manner	적절한 방식으로
extra money	여윳돈
on schedule	예정대로
as scheduled	예정대로
archaeologist	고고학자
luncheon	오찬, 점심
light meat	흰살 고기
tuna	참치
rattlesnake	방울뱀
on every occasion	어김없이
in a flash	번개같이
in sight	시야에, 보이는 거리에
disturbed	동요하는, 불안한
forbear	참다, 견디다
take flight	도망치다
a quarter mile	4분의 1마일
intrusion	침범, 방해
wilful	의도적인
invigorating	기운을 돋우는
revitalizing	기운을 돋우는
