elegance	우아함
reason with	~을 설득하다
wear ~ out	~을 지치게 하다
worn-out	기진맥진한
burnt-out	기진맥진한
washed out	기진맥진한
enhancement	상승, 향상
chaotic	무질서한, 혼란상태인
by design	고의로, 의도적으로 / 고의로, 계획적으로
crystallization	구체화
externalization	구체화, 객관화
shatter-proof	부서지지 않는
shatter	부서지다
water resistance	방수, 내수성
hands-free	손을 쓸 필요가 없는
despicable	비열한, 천한
contemptible	비열한, 천한
ignoble	비열한, 천한
retraction	취소, 철회
yielding ability	생산성
grey	우울한
blue	우울한
furiously	미친 듯이 노하여
ragingly	격노하여
topple	넘어지다, 넘어뜨리다
bend over	몸을 숙이다
stoop	고개를 숙이다
democratic	민주주의의, 민주적인
civilized	문명화된
governor	주지사
oxygen	산소
a portion of	~의 일부
the majority of	~의 대부분
the law of demand	수요의 법칙
conceptually	개념적으로
incubator	인큐베이터, 보육기
vitally	절대로, 불가결하게
indispensably	절대로, 불가결하게
desertification	사막화
climate change	기후 변화
sporadic	산발적인
in concentration	집중하여
properties	특성
in spurts	여러 번에 걸쳐 힘껏
hang out	시간을 보내다
consider A(as)B	A를 B로 여기다
deem A B	A를 B로 여기다
historical sites	사적지
preparations	준비
sue	고소하다
file a suit	고소하다
calmly	침착하게
hind leg	뒷다리
subtly	섬세하게, 미묘하게
decaying	쇠퇴하는, 썩는
in volume	대량으로
in quantity	대량으로
in bulk	대량으로
against all odds	모든 역경을 딛고
force on ~	~에게 강요하다
format	구성 방식
soloist	독주자
nationalism	민족주의
slogan	구호
familial	가족의
intolerable	견딜 수 없는
unbearable	견딜 수 없는
significant other	배우자, 애인
fiance	약혼자
evidently	분명히
compile	편찬하다, 편성하다
socialist economy	사회주의 경제
picky	까다로운
synapses	(염색체) 접합
e­commerce	전자 상거래
break into~	침입하다
approve of	~을 찬성하다
driverless	운전사가 필요 없는
correspondent	동일한(상응하는)
strong-willed	의지가 강한
keep in touch	계속 연락하다
put an effort into	~에 노력을 쏟다
lay~ out	제시하다
flavor	맛
damage	손상시키다
move to and fro	흔들리다
move back and forth	흔들리다
wail	울부짖다, 통곡하다
moan	슬퍼하다, 신음소리
huddle	모이다
churn	마구 휘돌다, 휘젓다
poll	설문조사
questionnaire	설문지
entrap	함정에 빠트리다
trio	3인조, 3개
vertebrate	척추동물의
tonic immobility	긴장성 부동화
poise	침착, 균형
spade	삽으로 파다
aversive	혐오적인
retreat	후퇴하다, 철수하다
underground	지하의
subterranean	지하의
fitness tracker	건강 추적기
sedentary	앉아서 생활하는
separate A from B	A를 B로부터 분리하다
segregate A from B	A를 B로부터 분리하다
isolate A from B	A를 B로부터 분리하다
detach A from B	A를 B로부터 분리하다
mindless	아무 생각이 없는
thoughtless	아무 생각이 없는
absurdity	불합리, 부조리
incense	향(종교 등에서 쓰는)
usage	사용
codiscoverer	공동 발견자
co-founder	공동 설립자
magnetic	자석의, 자기의
wartime	전시
stroller	유모차
come to mind	생각이 떠오르다
dangle	매달리다
irrigate	물을 대다
dispel	떨쳐버리다, 추방시키다
be compounded	악화되다, 심각해지다
unsteady	불안정한
latch on to	~을 자기 것으로 하다
make a distinction	구별하다
deafness	귀먹음
name after	~의 이름을 따서 짓다
the well off	부유한 사람들
plasticity	가소성
life span	수명
ripening	(과일)성숙
identity theft	신용 도둑
take form	형태를 띠다
credentials	자격, 자격인증서
certificates	자격, 자격인증서
by far	훨씬, 단연코
intercept	가로막다, 가로채다
be caught out	곤란해지다
formal	공식적인
awe	경외감
playfulness	명랑함
liberalization	자유화
capital market	자본시장
healthy	건전한
fluidity	유동성, 가변성
traumatic	대단히 충격적인
horrific	끔찍한, 무시무시한
psychiatric symptom	정신질환 증상
ditch	배수로
weathered	풍파를 겪은, 풍화된
eroded	침식된
