be due to	~때문이다
discontinue	늦추다, 미루다
enclosed	동봉된, 둘러싸인
punctually	시간엄수하여
restless	불안한, 걱정스러운
carefree	근심없는, 태평한
underway	계속하고 있는
proceeding	계속하고 있는
disorganization	혼돈
get ~ over with	재빨리 끝마치다
inedible	못 먹는
graceful	우아한, 품위 있는
songbird	고운소리로 우는 새
sparrow	참새
robin	울새
ledge	선반 모양의 공간 / (건물 밖의) 턱
leading newspapers	주요 신문사
leading edge	최첨단
angling	낚시
self­guided	혼자 다니는
advance ticket	사전 구매 티켓
fig	무화과
excellent	뛰어난
stand the test	검증을 견뎌내다
perfectionism	완벽주의
with grace	흔쾌히, 기꺼이
lousy	엉망인, 서투른
precious metal	귀금속
fixed	고정된
self­talk	혼잣말
deprivation	부족, 결핍, 박탈
the late + 사람	고(故) ~, 고인이 된
the deceased	고인
make an appearance	모습을 드러내다
applauder	박수 치는 사람
hand­clapper	박수 부대
sweep ~ off one’s feet	~을 열광시키다
electrify	열광시키다
emblazon	선명히 새기다
dehydration	탈수
hydroelectric	수력전기의
self­employed	자영업을 하는
self-ownership	자영업자
consulting firm	컨설턴트 회사
coact	협력하다
boresome	지루한, 싫증나는
in operation	가동 중인
at work	가동 중인
death toll	사망자 수
glimmer	(희미한)빛
flickering	깜박거리는
unwillingness	꺼림, 주저함
disinclination	꺼림, 주저함
go places	돌아다니다
illumination	조도, 조명
dark adaptation	어두운 곳에 적응
light adaptation	밝은 곳에 순응
all that	그렇게까지
removed	떨어진, 먼
interaction effect	상호 작용 효과
line up with	~와 함께 작용하다
depressing	울적한 / 우울한, 음울한
preoccupied	몰두한
unburnt	타지 않는
renovate	개조[수리]하다
fancy­looking	화려해 보이는
locksmith	자물쇠 업자
silversmith	은세공인
toilet	변기
upscale	고급스러운
classy	고급스러운
hold down	~을 누르다, 억제하다
plumber	배관공
the better part	대부분
casement	여닫이 창(문)
crawl	기다
determinedly	결연히
jaw	입, 턱
amazement	놀라움
whine	낑낑거리다, 징징대다
beyond reach	손이 닿을 수 없는
heart­pounding	심장 떨리는
wag	(꼬리를) 흔들다
on duty	근무 중인
duty-free	면세의
have down	숙지(숙달)하다
nurturing	육아, 양육
childhood	유년기, 어린 시절
preadolescence	사춘기 이전
along the way	그 과정에서
backpacking	배낭여행
to make matters worse	설상가상으로
to make matters better	금상첨화 격으로
be down	~이 중지되다
be suspended	~이 중지되다
be halted	~이 중지되다
roadside	길가, 노변
much to one’s delight	(매우) 기쁘게도
break new ground	개척하다
talkative	수다스러운
chatty	수다스러운
customs	세관, 관세
custom-made	주문제작한
clay tablet	점토판
evacuee	피난민
get lost in	~에 빠져 있다
be absorbed in	~에 빠져 있다
touching	감동적인
be subjected to	겪다, 당하다
homeless person	노숙자
diabetes	당뇨병
flashy	번쩍이는, 눈에 띄는 / 눈에 띄는
plane crash	비행기 사고
homicide	살인
assassination	암살
stomach cancer	위암
liver cancer	간암
lung cancer	폐암
attach importance to	~를 중요시하다
be likely to do	~할 가능성이 있다
be prone to do	~할 가능성이 있다
downgrade	평가절하하다
devaluate	평가절하하다
depreciate	평가절하하다
look‑alike	꼭 빼닮은
break ground	발굴하다, 캐내다
Master´s degree	석사학위
tirelessly	지칠 줄 모르고
archaeological	고고학의
anthropology	인류학
cultural heritage	문화유산
collusion	공모
conspiracy	공모, 음모
confidently	자신 있게, 대담하게
hotline	긴급 직통전화
creep into	영향을 미치기 시작하다
suicidal	자살의
fabricate	날조하다, 제조하다
keep away	멀리 하다
advise	조언하다
advice	조언, 충고
tall order	무리한 요구, 어려운 주문
survivorship	생존
accident prone	사고뭉치, 사고가 잦은
diligently	부지런히, 열심히
scholar	장학생, 학자
false notion	오개념, 잘못된 생각
give credit for	공로를 인정하다
radioactivity	방사능
influencer	영향력을 행사하는 사람
underpriced	가격이 너무 낮은
underrated	저평가된
self‑discipline	자기 단련
stubborn	완고한, 고집스러운
obstinate	완고한, 고집스러운
bounce up	펄쩍 뛰다
self‑esteem	자존감, 자존심
measles	홍역
chicken pox	천연두
parasite	병균, 기생충
molecular	분자로 된, 분자의
beat off	~을 물리치다
counterforce	저항력, 대항세력
for a short while	잠깐, 잠시 동안
testify	입증하다
incidentally	그건 그렇고, 우연히
shake one's head	고개를 가로 젓다
food stamp	구호대상자용 식량카드
astonished	놀란
be located at	~에 위치하다
intersection	교차로, 사거리
marginalize	무시하다, 소외시키다
in excess of	~을 초과하여
speed bump	과속 방지턱
dispenser	(뿌릴 수 있는)기계
flight deck	조종실, 갑판
roll on	굴러가다
plunge to	쳐박다, 뛰어들다
smother	(불을) 덮어 끄다
flood with	~이 넘쳐나다
neurological	신경학적인
video conferencing	화상 회의
media literacy	미디어 정보 독해력
parental	부모의, 부모다운
referred to	~라고 불리는
be featured on	~에 등장하다
philanthropic	박애(주의)의
open house	공개행사
biannual	연 2회의
consent form	동의서
rheology	유동학
deformation	변형
mutation	변형, 돌연변이
attractiveness	매력
commit a blunder	실수를 저지르다
recordability	기록 가능성
preservability	저장 가능성
permanency	영속성
intercultural	문화 간의
uncooperative	비협력적인, 비협조적인
situate	~에 위치하다
time lag	시간상의 지체
jet lag	(비행)시차적응 피로감
