afterimage	잔상
shading	명암
movable type	가동 활자
legitimation	합법적 인정
overlapping	중복된
wardrobe	옷장
indigo	남색
permeate	스며[배어]들다
trousers	바지
tuning	(음악) 조율
outlaw	금지하다, 불법화하다
retail merchant	소매상
sound wave	음파
fractional	[수학] 분수의
syndrome	증후군
entertain	마음에 품다
mediate	중재하다, 조정하다
inclusion	통합
assimilate	통합하다, 동화하다
reunion	동창회, 모임
nag	잔소리하다
at any cost	꼭, 반드시
payback	보상, 갚음
stunned	멍하게
emptily	멍하게
absent-mindedly	멍하게
sorrowful	슬픈, 비탄에 잠긴
mournful	슬픈
rechargeable	재충전 가능한(배터리)
unwarranted	부당한, 부적절한
unjustified	부당한, 부적절한
wear off	사라지다
smallpox	천연두, 마마
mass vaccination	집단 예방 접종
systemize	체계화 된
a pile of	한 무더기의
a stack of	한 무더기의
a heap of	한 무더기의
oftentimes	흔히, 종종 (=often)
exert oneself	노력하다, 애쓰다
(in the) meantime	한편
naturalist	동식물 학자
natural habitat	자연 서식지
cone	원뿔
quadrangle	사각형
heptagon	칠각형
ascent	상승
raise funds	자금을 모으다
cure	치료(법)
neurogenetic	신경 유전학
developmental delay	발달 지체, 발달 지연
sign-in	등록, 참가 서명
tentacle	촉수
allowable	허용되는
subtitle	자막
caption	자막
primitively	원래
paradoxical	역설적인, 모순적인
distinguishable	구별할 수 있는
recognizable	식별할 수 있는
under false pretenses	거짓으로, 거짓 핑계로
summit talks	정상회담
workmanship	솜씨
multidisciplinary	여러 분야에 걸친
formality	형식, 절차
self-interest	사욕
presupposition	가정, 추측
prevailed	우세한, 팽배한
behaviorist	행동주의자
unequivocal	명료한, 모호하지 않은
suggestive	시사하는, 연상시키는
return on asset	자산수익률
aesthetically	미적으로
crater	분화구
Danish	덴마크어, 덴마크
translation	번역, 통역
do justice	~을 제대로 다루다
togetherness	단란함, 화기애애
sprawling	팔다리를 쭉 편
socialite	사교계 인물
woodcut	목판화
sculpt	조각하다
salacious	외설스러운, 음란한
obscene	음란한, 터무니없는
dissemination	보급
macronutrient	다량 영양소
alternating	교대의, 번갈은
preindustrial	산업화 이전의
aplenty	많이, 충분히
superstorm	초강력 폭풍
incapacity	할 수 없음, 무능
eminently	분명하게, 눈에 띄게
conspicuously	분명하게, 눈에 띄게
decipher	판독하다, 해독하다
a matter of ~	~의 문제
gourmet	미식의, 고급의, 미식가
assortment	모음, 종합
peer-to-peer	개인간의
cryptography	암호화 기법
disintermediated	탈중개화 된
transnational	초국가적인, 다국적의
tamper	변조하다, 변경하다
tampering	(정보보호)부당변경
traceable	추적 가능한
co-opt	끌어들이다, 선임하다
surveillance	감시, 사찰
cocoon	허물, (곤충의) 고치
blend with	~와 섞이다
ceiling	천장
as of + 날짜	~일자로
update	새롭게 하다
coat	칠
one’s own expense	자비로
at one’s convenience	형편이 되는 대로
chilly	추운, 쌀쌀맞은
chili	고추
horrible	끔찍한
shack	오두막
ring	울리다
obese	뚱뚱한, 살찐
practice of medicine	의료행위
tumor	종양
tie up	묶어 두다
psychoanalysis	정신분석(학)
therapy session	치료 시간
unconsciousness	무의식
natural disaster	자연재해
print shop	인쇄소
put ~ together	~을 한데 모으다
art show	전시회
harshly	호되게
first place	1등
pre­registration	사전 등록
skull	두개골
at one’s disposal	마음대로 할 수 있는
self­imposed	스스로 부과한
antiquity	고대
modernity	현대(성)
dissymmetry	불균형, 비대칭
knock down	~을 쓰러뜨리다
unnoticed	눈에 띄지 않는
expression	표현
suppression	억제, 억압
end­result	최종 결과의
stems	생기다, 기인하다
biologically	생물학적으로
unidentifiable	확인 불가능한
torso	상체, 몸통
sighted	볼 수 있는
slip	(실력이) 떨어지다
concerto	협주곡
splendidly	훌륭하게
townspeople	(특정한 도시의) 시민
decomposed	썩은, 분해된
extend credit	신용 거래를 하다
bad bet	나쁜 선택[내기]
down the line	(특정한 시점) 이후에
earnings	수익, 이익
at the cost of	~을 희생하여
enrich oneself	부자가 되다
be tuned in to	~에 맞춰져 있다
perplexing	당황스러운
diagram	표, 그림
bookcase	책장
occur to	~에게 생각이 나다
humankind	인류
human beings	인류
secondhand	간접적으로
indirectly	간접적으로
aloud	큰 소리로
of value (valuable)	이로운, 유익한
of use (useful)	이로운, 유익한
have ten thumbs	서투르다
plow on	계속해 나가다
proofreading	교정
be credited with	~의 공로를 인정받다
acclaim	칭송하다, 환호를 보내다
term coined by	~에 의해 만들어진 용어
suction	흡입
be stuck with	(싫은일을)강요당하다
prior to ~	~ 이전에
file	(소송)제기하다,제출하다
bitter	격렬한, 쓴
left hemisphere	좌뇌, 좌반구
line drive	(야구의) 직선타
if only	~하면 좋을텐데
curious turn	호기심이 강한 성격
in need of	~이 필요하여
proclamation	포고, 선언
outrageous	터무니없는, 엉뚱한
liar	거짓말쟁이
grow tired of	~에 싫증이 나다
sport	재미삼아 하는) 장난
no lack of	~이 많은
