let down	실망시키다
brand-new	신제품의, 신형의
the newest	최신의
the latest	최신의
glittering	빛나는, 번쩍이는
disappointed	실망한, 낙담한
disgraceful	부끄러운
fire on all cylinders	전력을 다하다
balance out	균형이 잡히다
be likely to~	~할 가능성이 있다
be prone to~	~할 가능성이 있다
be apt to~	~할 가능성이 있다
be liable to~	~할 가능성이 있다
stand still	가만히 서있다
redevelop	재정립하다
reposition	재정립하다
eloquently	설득력 있게,유창하게
fluently	유창하게, 능숙하게
keep A from B	A가 B 하는 것을 막다
creaminess	느끼함
greasy	느끼한, 기름진
stomachache	위통, 복통
place a value on	~에 가치를 두다
gender	성별
chamber	방, 실내
platitude	상투적인 말
resister	저항[반대]하는 사람
dwell on	심사숙고하다
reconstitute	재구성하다
profit-sharing	수익분배의
erroneously	잘못되게, 틀리게
wrongly	잘못되게, 틀리게
algebraic equation	대수 방정식
algebra	대수학
groundwater	지하수
transferable	이동 가능한
deferrable	연기할 수 있는
delayable	연기할 수 있는
postponable	연기할 수 있는
incidence	발생빈도, 발병률
exteriorize	외면화하다,구체화하다
kinetic	운동의
in an attempt to	~하기 위하여
kinesthetic	운동 감각의
under-the-table	비밀 거래되는
merger	합병, 통합
intergroup	그룹 사이의
openness	개방성
institutionally	제도상으로
desegregation	인종 차별 폐지
individualized	개별화된
take for granted	~을 당연시하다
extraneous variable	외부 변인
interfering	간섭하는
homeless	노숙자
fateful	운명적인
public service	공공시설
rain gear	우비
lightening rod	피뢰침
rod	막대, 매
raging	격렬한, 맹렬한
dart	휙 달리다, 던지다
bolt	달리다, 도망가다
butterflies (in stomach)	불안, 초조, 안절부절
replica	복제품
motorized	엔진이 달린
flag down	정지신호를 하다
omnivorous	잡식성의
global	지구의
physiologically	생리적으로
conservatism	보수성
disliking	싫어하는
backup	예비, 대비
note-taking	필기
edit out	~를 잘라내다
lawsuit	소송, 한 벌
upstart	최근 나타난, 졸부
biotechnology	생명공학
date back to	~로 거슬러 올라가다
a prime number	소수
divisibility	나눌 수 있음
theorem	(수학)정리
ranch	목장
be accompanied by~	~를 동반하다
standby	대기중의
in (the sense) that~	~라는 점에서
ever-widening	점점 벌어지는
toleration	관용
controversial	논란의 소지가 있는
censor	검열하다
pretension	허세, 가식
bluff	허세
leave ~ off	~를 제외하다
make fun of~	조롱하다, 놀리다
laugh at~	조롱하다
mock	조롱하다
in the presence of~	~의 앞에서
reverie	공상
make up a story	(이야기)꾸며내다
all the while	내내
censorship	검열
traitorous	배신하는
bureau	책상, 조직(국)
bureaucratic	관료적인
shy away from~	~을 꺼리다
dysfunctional	고장난
career advancement	승진
get a raise	승진, 월급상승
insistent	꾸준한, 고집하는
inclined plane	경사면
altogether	완전히
be traded for	~로 교환되다
slope	경사면
put~together	모으다, 합치다
henceforth	그 이후로
follow the lead of	~의 선례를 따르다
legislate	~를 법률로 정하다
crash down	붕괴하다
pull	당기는 힘
bulk	부피, 큰 규모
inquiry driven	탐구중심의
social study	사회과목
dip	패인곳, 담그다
a certain degree of	어느 정도의
drag	저항력, 힘든 일
relativity	상대성
squash	꽉 쥐다
tic	경련, 틱
overloaded	과부하 걸린
tempering	(감정)조절하는
drop dead	급사하다
skew	왜곡하다
estimated	어림잡은
unbearably	참을 수 없게
roaring	포효하는, 함성 지르는
make one’s way	나아가다
thumbs-down	반대, 거절
thumbs-up	승인, 격려
impulsively	충동적으로
landing	착륙, 계단 중간 공간
break into	갑자기 ~하다
chest	가슴, 상자
chestnut	밤
cough	기침
paramedic	구급대원
tend	돌보다, 경향이 있다
tender	상냥한, 부드러운
