truly	진심으로
amusing	즐거운, 재미있는
jolly	즐거운
squeak	날카로운 소리를내다
murmur	속삭이다, 중얼거리다
in no time	즉시
achieve mastery	완전히 습득하다
capitalism	자본주의
democratization	민주화
capital sourcing	자본 조달
collective wisdom	공동지혜
predetermination	선결, 예정
harmless	해가 없는
be stuck in	-에 갇히다
simulated	모조의, 가장된
seizure	압수, 몰수
tickle	간지럽히다
be synced to	~에 동기화 되다
functionality	기능적으로
legislature	입법 기관
astonishment	크게 놀람
conceptualize	개념화하다
be dominated	지배되다
empirically	실증적으로
lotus plant	연꽃 식물
revelation	폭로, 드러냄
assumed	추정되는
suburban	교외의
linguistics	언어학적인
bent	구부러진
be tempted to~	~ 하고 싶다
do good	도움이 되다
for fear of	~을 두려워하여
make a fool of	~을 웃음거리로 만들다
ballroom	강연장, 연회장
retrospect	되돌아보다, 회상
settle in	적응하다, 정착하다
single­minded	목적이 단 하나인
public airwave	공중파
possessions	재산
long­lasting	장기간에 걸친
a wide range of	광범위한
bystander	구경꾼, 방관자
sweetener	감미료
source of sugar	당의 원료
serving	1회분, 한 그릇
astronomer	천문학자
optics	광학
grind	갈다, 연마하다
Saturn	토성
flower arranging	꽃꽂이
on display	전시된
collision	충돌
drift	떠다니다, 떠돌다
come upon an idea	생각이 떠오르다
take the credit	공로를 인정받다
atomic	원자의
china	자기(의), 도자기(의)
bowl	그릇
mountainside	산 중턱, 산허리
energetically	힘차게
theorist	이론가
mid­life	중년
turn off	~을 차단하다
toxin	독소
genetic blueprint	유전자 청사진
superstition	미신
theater	극장
be set in	~을 배경으로 하다
lump	덩어리
at a cost	대가를 지불하여
undeniable	부인할 수 없는
program	작동 방식을 설정하다
move	(체스)말을 움직이다
grandmaster	거장
insane	비상식적인, 미친 / 광적인
heart transplant	심장 이식
central nervous system	중추 신경계
diversification	다양화, 다양성
capital	자본(금), 자원
stand one’s ground	물러나지 않고 버티다
nursery	묘목장
all of one’s life	평생
take a deep breath	심호흡을 하다
back yard	뒷마당
towering	높이 솟은
world-class	세계적인
that’s why	그래서 (+결과)
that’s because	왜냐하면 (+원인)
hardened	경직된
knock about	지치게 하다, 학대하다
circle of friend	교우관계
bravado	허세
get ahead	앞서가다
blind spot	맹점, 사각지대
developmental	발달상의, 발전적인
enlist	요청하다
be willing to ~	기꺼이 ~하는
out of control	통제되지 않는
indulgent	멋대로 하게 하는
date back	거슬러 올라가다
somewhere	어딘가에서
savanna	대초원
black-tipped	끝 부분이 까만
horn	뿔
feed upon ~	~을 먹고 살다
breeding season	번식기
give birth	출산하다
delivery	출산
recreational	오락적인
pre-registration	사전 등록
tend to ~	~하는 경향이 있다.
give credit to ~	~에게 공을 돌리다
happen to ~	우연히 ~하다
politics	정치
treat A as B	A를 B로 여기다
neurologically	신경학적으로
be obsessed with	~에 사로잡혀 있다
manic	광적인
frantic	광적인
recapture	되찾다
high	황홀감, 만족감
gambler	도박꾼
hull	껍질
sugar content	당도
at its height	~의 절정에, 최고에
fructose	과당
glucose	포도당
hunger-blocking	배고픔을 막는
