end up –ing	결국 –하다
stake	(성공에) 걸려 있는 것
headfirst	머리부터 먼저
fully	완전히
intolerant	편협한, 참을성없는
bigot	고집쟁이
recency	최신성
misjudge	잘못 판단하다
fall victim	희생양이 되다
retrievability	회복력, 복구 가능성
have trouble –ing	~에 어려움이 있다
demarketing	반 마케팅
reserved	지정된, 예약된
make up one’s mind	결정하다
rather than ~	~보다는
objectivity	객관성
de-biasing	반-편견적인
in every respect	모든 면에서
ceaselessly	계속해서, 끊임없이
facial expression	얼굴 표정
train	훈련하다
pay attention to ~	~에 주의를 기울이다
pay heed to~	~에 주의를 기울이다
utilitarianism	공리주의
stipulate	규정하다
(en)force	강요하다
invitation	초대
passport	여권
chargeable	책임이 있는
actuate	작동시키다
downtime	비가동 시간
in charge of	~을 담당하여
fall through	성사되지 않다
disappear	사라지다
piggy bank	돼지 저금톤
purse	지갑
as long as S V	~ 하는 한
reassurance	안심
laugh at	놀리다, 조롱하다
humiliate	굴욕감을 주다
reassure	안심시키다
strike gold	대성공을 거두다
unacceptable	부적당한
be based on ~	~에 근거하다
be grounded on(in)	~에 근거하다
-driven	-중심의
deal with ~	처리하다
optimally	최적으로
correlated	상관관계가 있는
neurochemical	신경화학물질
upbeat	긍정적인
peculiarly	특히
preoccupation	집착, 사로잡힘
aptly	적절히
unofficial	비공식적인
come to light	알려지다, 밝혀지다
seem	~로 보이다
carbon	탄소
shipping	운송
turn A into B	A를 B로 바꾸다
submit an entry	출품작을 제출하다
spine-tingling	등골이 오싹한
allege	주장하다
antique	고대의
tradition	전통
fishy	의심스러운
A rather than B	B보다 오히려 A
make a boast	과시하다, 자랑하다
charged	격앙된
inflamed	격앙된, 흥분된
allow for ~	용납하다, 감안하다
articulate	표현하다, 말 잘하는
only to V	결국~하게 되다
drawn	도출된
loan	대출
widely	상당히
make use of ~	이용하다
make the most of~	이용하다
continent	대륙
basin	분지, 대야, 유역
lukewarm	미지근한
cling	매달리다, 집착하다
stagnate	침체되다, 고이다
gross	전체적인
silence	침묵, 고요
tranquility	고요, 평안
result from N	~으로부터 초래되다
accented	강세가 있는
converge	모여들다, 수렴하다
diverge	갈라지다, 발산하다
in ~ing	~ 하는데 있어서
hobbyist	취미에 열심인 사람
