spare time	여가
serious	심각한, 진지한
self-induced	저절로 생긴
semi -	반 ~
nameless	익명의
once S V	일단 ~ 하면
civil penalty	벌금형
suspension	정지, 보류
get to know	알게 되다
journey	여행
in amount	통틀어
hurry off	서둘러 떠나다
disarrange	엉망으로 만들다
as ~ as 주어 can	가능한 한 ~한, 하게
summer break	여름방학
refrigerator	냉장고
fridge	냉장고
rocket	급부상하다, 급등하다
groan	신음하다
in the blink of an eye	순식간에
plea	항변, 애원
metaphorical	은유적인, 비유적인
open-ended	다양한 대답이 가능한
worldview	세계관
spit out	내어놓다, 내뱉다
regulated	규제된, 통제된
fundamentals	원리, 기본원칙
lectern	강의대
hang around	헤매다, 배회하다
divine	신(神)의, 신성한 / 신성한
notably	공공연하게, 특히
alchemy	연금술
one-dimensional	일차원적인
accolade	수상, 표창
compass	나침반
(pre)disposition	경향
counterparty	상대방
the opposite party	상대방
a measure of	어느 정도[양]의
interchange	교환
commuters	통근자
telecommute	재택근무하다
barefoot	맨발로
Halls of Fame	명예의 전당
stains	얼룩
sign language	수화
covering	피복, 덮개
waxy	밀랍같은
dehydrate	탈수하다
artery	동맥
vein	정맥
waste material	노폐물
nonnegotiable	협상의 여지가 없는
highfalutin	허세를 부리는
surely	분명하게
water vapour	수증기
nitrogen	질소
inner world	내면세계
interoperate	상호작용하다
evocative	불러일으키는
contextual	맥락적인, 문맥의
recreation	재창조
biomass	생물자원
bison	들소
snowball	눈덩이처럼 커지다
cattle	소(집합적)
think of	여기다
personify	인격화하다
cast a spell	주문을 걸다
adhere	들러붙다
potion	(마법의) 물약
demographically	인구통계학적으로
self-defeating	스스로 파괴하는
foam	발포 고무
give	(힘을 받아) 휘다
buckle	휘다
tap water	수돗물
tab	색인표
a body of water	수역
push back	밀어내다
incompressibility	비압축성
diner	식사하는 사람
embracement	수용, 포용
directly after	~ 직후에
right after	~ 직후에
shortly after	~ 직후에
falsehood	거짓
upon –ing	-하자마자
scarcely~ when	-하자마자
the moment +문장	-하자마자
the instant +문장	-하자마자
sociability	사회성
Palaeolithic	구석기 시대의
Neolithic	신석기 시대의
badlands	황무지, 불모지
wasteland	황무지
fold	접다
kneel down	무릎을 꿇다
touch	감동시키다
can’t help but 동원	~하지 않을 수 없다
residents’ association	입주민 조합
apartment complex	아파트 단지
be due to + 동원	~하기로 되어있는
be expected to~	~하기로 되어있는
icy	차가운
creep over	~을 엄습하다
sweep over	~을 엄습하다
throat	목구멍
haze	희뿌연 것,
object to	이의를 제기하다
endanger	위태롭게 하다
imperil	위태롭게 하다
disassociated	분리된
divided	분리된
bonded	결속되어 있는
assessments	평가
get into shape	몸 상태를 좋게 만들다
