destruction	파괴
demolition	파괴
confused with	~과 혼동되는
not to say	~라고는 할 수 없어도
age	시대
be attributed to	~의 탓으로 돌려지다
novel idea	참신한 생각
possessed by	~에 사로잡힌
pale imitation	어설프게 흉내 낸 것
recklessly	맹목적으로
a sort of	일종의
mistakenly	잘못하여, 실수로 / 잘못, 실수로
shore	해변 / 해안가(땅과 물이닿는곳)
established fact	기정 사실
existing fact	기존 사실
venture into	~로 과감히 들어가 보다
alley	골목길
blind	막다른, 장님의
primary education	초등 교육
job fair	채용 박람회
job seeker	구직자
refreshments	다과
giant	거대한
wherein	거기에서, 어떤 점에서
anytime	언제라도
angelic	천사 같은
inclusivity	포용성, 포괄성
exclusivity	배타성
educated	교육을 받은
cultured	교육을 받은
straightforwardly	있는 그대로, 솔직하게
action	(이야기 속의) 사건
positioning	위치 선정
impersonal	냉담한
trace back to	~로 거슬러 올라가다
bring ~ under control	~을 진압하다
awe­inspiring	경외심을 자아내는
monumental	기념비적인
summon up	떠올리다
predatory	공격적인, 포식동물 같은
unusualness	특이함, 특이성
neurologist	신경학자
in mind	염두해 두고
working memory	작동 기억
novelty	새로움, 참신함
set ~ up	~을 준비시키다
liquor store	주류 가게
at any rate	어쨌든
loyalty card	고객 우대 카드
analytics	분석(학)
resell	되팔다
behavioral	행동의
capitalist system	자본주의 체제
value-creation	가치 창출
question	의문을 제기하다; 질문
play on	(감정을) 이용하다
inadequateness	부적절함, 불충분함
fixated	집착하는
false-cause	잘못 파악한 원인
medical student	의대생
at first glance	처음에는, 첫눈에
be correlated with	~과 관련되다
be imposed	~에게 부과되다
judgement	판단
tobacco	담배
sin tax	죄악세
the same goes for	~도 마찬가지다
paid	유급의
falsify	거짓을 입증하다
spin on one’s axis	자전하다
meta­physical	형이상학적
present a challenge	난제가 되다
willing	기꺼이 하는
group together	~을 하나로 묶다
jump to conclusions	성급하게 결론을 내리다
learn by heart	암기하다
opt for	~을 선택하다
fattening	살이 찌는
associate ~ with ...	~을 …와 관련시키다
relate ~ with ...	~을 …와 관련시키다
rooted in	~에 뿌리를 둔
place pressure on	~에 압력을 가하다
certification test	자격 시험
reaffirm	재확인하다
place blame on	~에게 책임을 지우다
take control	통제권을 잡다
meet ~ head on	~에 정면으로 맞서다
stand against	맞서다
sit up all night	밤을 새다
to one's surprise	~가 놀랍게도
chimney	굴뚝
in a little while	잠시 후에
it was no use -ing	~하는 것은 소용없다
as with	~와 마찬가지로
worst of all	최악은
lakeshore	호숫가
contended	만족한
strong-minded	의지가 강한
a man of iron	의지가 강한 사람
pole	기둥
rite	의례, 의식
explicate	보여주다, 예증하다
unnecessarily	불필요하게, 쓸데없이
unseen	보이지 않는
sit-up	윗몸 일으키기
be apt to ~	~할 가능성이 있다
be liable to ~	~할 가능성이 있다
fever	흥분, 열
queer	이상한
in a sense	어떤 면에서
reversed	역의, 거꾸로 된
be presented with	~을 받다
purposefully	일부러
adjective	형용사
embattled	전쟁에 휘말린
knock-on effect	연쇄 반응
domino effect	연쇄 반응
push for	요구하다, 밀어붙이다
self-handicapping	자기 불구화
be concerned in	~에 관여하다
bring to an end	결론내리다
wrap up	결론내리다, 마무리짓다
be obliged to	~할 수 밖에 없다
unearth	발견하다, 발굴하다
exasperation	분노, 격분
direct proportion	정비례
inverse proportion	반비례
leave open	열어두다
a crack	조금
halfway	절반
in favour	찬성하는
approving	찬성하는
disapproving	못마땅한, 반대하는
