capital cost	자본 비용
subcontract	하청을 주다
end-item	완제품
father	창립자
in awe of	감명을 받은
dare to	감히 ~하다
go through the roof	치솟다, 최고조에 달하다
spit	뱉어내다
lesson	교훈
willpower	의지력
paralysis	마비
overthink	지나치게 생각하다
incapability	무능력
boundlessly	무한정
over-cautious	지나치게 조심하는
fill out	작성하다
shortly later	얼마 지나지 않아
broker	중개인
be proud of	~를 자랑스러워하다
modern schooling	현대교육
merciful	자비로운
community-wide	사회 전체의
wide	완전히, 있는 대로 다
to the fullest	완전히
leave	떠나0다
forgive	용서하다
on this occasion	이번에
for the time being	지금 당장은, 지금으로서는
be sure	확신하다
keep -ing	계속 ~하다
keep...from~ing	못하게 하다
repeat oneself	같은 말[일]을 되풀이하다
leave one’s own devices	멋대로 하게 내버려 두다
a level of	~의 수준
relevant to ~	~에 관련된
playful	장난기 있는
no matter how ~	아무리 ~일지라도
civil servant	공무원
lead ... back to ~	...를 ~로 되돌리다
glory	영광
light rail system	경전철 시스템
tidal force	조석력
urban change	도시 변화
compared to(with)	~에 비해서
public money	공공자금
renewal	재생, 재개, 갱신
oyster	굴
introduced	도입된
weathering	부식, 침식
shellfish	어패류
native species	토착종
seaweed	해초
high-rise	고층 건물
make one’s way to ~	~로 나아가다
sculpture	조형물, 조각품
amber	황색, 호박색
total	전체의
less than~	~보다 미만의
graduate from ~	~를 졸업하다
College of Medicine	의학대학
concentrate on ~	~에 집중하다
focus on~	~에 집중하다
co-found	공동 설립하다
miss	그리워하다
accustom to	적응하다
be composed	구성되다
equip ~ with...	~에게 ...를 갖춰주다
residual light zone	잔광 구역
visual capability	시력
unlock	가능하게 하다, 드러내다
a few variety of	소수인 ~의 종(류)
the course of	~동안
strike~	어떤 상태로 만들다
waistline	허리둘레
by a comparison to~	~와의 비교로
be satisfied with	~에 만족하다
be content with	~에 만족하다
be gratified with	~에 만족하다
identically	동등하게
be based on	~에 기반[기초]를 두다
listed in~	~에 실려있는
thinking	사색
talking	토론
bearable	참을 수 있는
endurable	참을 수 있는
bubble over	(흥분·열광) 벅차오르다
intense(intensive)	강렬한
contrast ~ with ...	~를 ...와 대조하다
deep-fried	기름에 튀긴
bland	(맛이) 자극적이지 않은
fatty	지방이 많은
blood stream	혈류
comfort food	위안 음식
carb	탄수화물(carbohydrate)
at every turn	언제나[어디에서나]
ingrained	뿌리 깊은, 몸에 깊게 밴
caveman	원시인
crave for	~에 대해 갈망[하다]
hold a position in	~에 위치하다
professionals	전문직 종사자들
play a role(part) in	~에서 역할을 하다
mediating	중개의
critical mass	결정적 질량(임계 질량)
act on one’s own	독단적으로 행동하다
manage a feat	위업을 달성하다, 해내다
body weight	체중
heartbeat	심박수
keep (on) -ing	계속해서 ~하다
of importance	중요한
reveal oneself	나타나다, 알려지다
socialise	사회화시키다
televise	TV로 방영하다
heat up	가열하다
atmospheric drag	대기 항력
re-enter	재진입하다
give attention to ~	~에 관심을 두다
pulse	박자
match ... to ~	...를 ~에 맞추다
translate to	~으로 해석되다, 설명되다
resourceful	지혜가 있는, 수단이 좋은
power	전력을 공급하다
involved in~	~에 관련된
incredible quantity	엄청난 양
carbon emission	탄소 배출
electronic message	전자 메시지
environmentally	환경적으로
(up)on -ing	~하자마자
roll down	흘러 내리다
be lost in~	~에 빠지다
urge ~ to V	~가 V할 것을 촉구하다
in anticipation	기대하며
go blank	(마음이) 텅 비다
absent-minded	허탈한, 정신이 팔린
frozen	얼어붙은
uneconomical	경제성이 없는
soleness	유일함, 독특함
miss out on	~를 놓치다
intimidation	위협
ever so often	이따금
rhythm	규칙성
ignition point	발화점
overreact	과민 반응하다
plot	줄거리
detached	분리된
profiling	정보 수집
involuntarily	무의식적으로
engaged in~	~에 참여하는
attachment theory	애착 이론
underarm	팔을 아래로 내린
conservation work	자연보호 활동
anchoring bias	기준점 편향
give weight to	~에 비중을 두다
put emphasis on	~에 비중을 두다
assort	분류하다
specifics	세부사항들, 명세서
serve to	~하는데 도움이 되다
disharmony	불일치
fleeting	순식간의, 잠깐 동안의
match A to B	A를 B에 맞추다
allocate A to B	A를 B에 부여하다
pit of stomach	명치
perceptional	인지적인
windward	풍상측의
mountain range	산맥
fall out of~	~로부터 빠져나오다
leeward	바람이 가려지는 쪽의
