in the hope that~	~라는 희망으로
charging	부과
social contract	사회 계약
skillfully	능숙하게
ably	능숙하게
sort ~ from...	~를 ...로부터 가려내다
line of thinking	사고방식
adversely	반대로
turn out to	~로 밝혀지다
a matter of	~의 문제
lie with	~의 의무[책임]이다
police	감시하다
in favour of	~의 편을 들며
climate-driven	기후로 인한
marine ecosystem	해양 생태계
bleaching	백화, 표백
reef	암초
hammer	강타하다
batter	강타하다
slug	강타하다
keep on	지속되다
loudness	세기, 강도
sound engineer	음향 기사
short-lived	일시적인
elongation	연장
seedling	묘목
distribute A to B	A를 B에 배분하다
be directed to	~ 를 향하다
metabolic	신진대사의
biochemical	생화학적인
guinea pig	피실험자
stock market	주식시장
come true	실현되다
be realized	실현되다
divide A into B	A를 B로 나누다
split A into B	A를 B로 나누다
vista	기대, 전망
controvert	부인하다
plan	설계하다
watchful	주의를 기울이는
turn~over	~를 물려주다
leave~	~를 물려주다
in conflict	싸움에서
throw oneself	~로 뛰어들다
puff up	부풀리다
swell up	부풀리다
howl	포효하다
make a show of	~를 과시하다
make a boast of	~를 과시하다
victory	승리
by appearance	겉모습으로
worn	닳은
battered	닳은
selfless	이타적인
in trouble	곤경에 처한
special-offer	특가로 제공되는
non-exchangeable	교환할 수 없는
have butterflies in~stomach	초조하다
on edge(edgy)	초조하다
march	나아가다
slant	관점, 경사, 경향
unconventional	관습에 얽매이지 않은
at home	국내에서
domestically	국내에서
spherical	둥근
well-meaning	좋은 뜻에서 하는
beat oneself up	자책하다
accuse oneself	자책하다
reproach oneself	자책하다
kick oneself	자책하다
a large number of	많은, 다수의
ancestry	혈통, 조상
domination	지배
capitalistic	자본주의적
mechanized	기계화된
in mass quantities	대량으로
byproduct	부산물
secondary product	부산물
spin-off	부산물
mode of transportation	교통수단
telecommunication	재택근무
gala	(경축) 행사
migrant	떠돌이, 이주자
wanderer	떠돌이
meaning-seeking	의미를 추구하는
undeserving	가치가 없는
of no value	가치가 없는
beneath one’s notice	주목할 가치가 없는
beneficence	호의
earth-shattering	극히 중대한
come across as	~이라는 인상을 주다
sympathizer	동조자, 지지자
belong	속하다
cosy	편안한
sail	항해하다
spring from~	~에서 발생하다
activation	활성화
gravitational attraction	중력
digital native	디지털 원주민
immersed in	~에 몰입한 채로
anxiousness	불안감
exert A on B	A를 B에게 행사하다
elemental	기본적인, 본질적인
to illustrate	예를 들면
technological literacy	기술 활용 능력
rationalist	합리주의자
zest	묘미
theory of relativity	상대성 이론
paper	논문
meet the demand	수요를 충족시키다
inelastic	비탄력적인
it is worth~ing	~할 가치가 있다
deserve~ing	~할 가치가 있다
burst out	~을 터뜨리다
ticklishness	간지럼
clown	광대
well-attended	참석률이 좋은
bring~to life	생명을 불어넣다
look forward to~	기대하다
rusty	녹슨
creak	삐걱거리는 소리
fly over	~위로 날아오다
the majority of~	대다수의
let~slide	소홀히 하다
custom-design	맞춤 설계하다
re-live	다시 살아나다
over and over again	반복해서
be up against	~에 직면하다
rebel	저항하다
be tied to	~와 관련있다
rusting	녹이 슨
weeds	잡초
underside	아래쪽에
unaided	스스로
unassisted	스스로
airliner	여객기
joint goal	공동의 목표
oversight	관리, 감독
subordinates	부하
analyst	분석가
floating	유동적인
radio wave	전파
as one pleases	마음대로
obtain A from B	A를 B로부터 얻다
socialism	사회주의
communism	공산주의
mortgage	담보
rise and fall	흥망성쇠
accrue	축적하다
