by the time+SV	~할 때 즈음
obsolete	구식의
out of date	구식의
metal poker	금속 부지깽이
holy grail	궁극적 목표
indulge	~에 빠지다
sink into	~에 빠지다
stock in trade	일상적인 업무
immune to	~에 영향을 받지않는
proof against	~에 영향을 받지않는
nothing less than	~과 다름없는
bring off	해내다
fit in	적합하다
affiliate	뭉치다
bolstering	강화
counterargument	반론
overhead bin	여객기 짐칸
turbulence	난류
have difficulty -ing	~하는 데 어려움이 있다
no choice but to	~할 수밖에 없다
graded	채점된
impatiently	초조하게
recuperation	회복
escapism	현실도피
innocence	죄책감
steer clear of	피하다
be about to v	~하려고 하다
soften	완화시키다
firing line	사선, 최전선
be turned on	발동하다
get watered down	희석되다, 희미해지다
be diluted	희석되다, 희미해지다
introspect	성찰하다
equilibrium	평정심, 평형상태
steer back on track	다시 제자리로 돌아가다
better off	더 좋다[낫다]
preventive	예방적인
ascendancy	우세, 우월
sanitary	위생
attributable to	~가 원인인, 기인하는
bioengineered	생물 공학적인
sewage	하수
self efficiency	자아 효능감
the effect of A on B	A가 B에 미치는 영향
the impact of A on B	A가 B에 미치는 영향
the influence of A on B	A가 B에 미치는 영향
starve to death	굶어 죽다
supportive	협력적인
inadequacy	무능함, 역부족
self-relevant	자기 연관적인
self-defining	자기 정의적인
emperor	황제
knight	기사
cheating	속이는 행위
impel	강요하다, 재촉하다
be tie to ~	~와 관련있다
prudently	사려 깊게
beacon	횃불
rallying point	집합 지점
arguing	논쟁
acclimation	순응
pigment	색소
solar radiation	태양 복사열
unverifiable	확인할 수 없는
unascertainable	확인할 수 없는
laundry detergent	세탁 세제
feel obligated	의무감을 느끼다
combined with	~와 결합된
wear~down	~를 지치게 하다
antidote	해독제
a galaxy of	수많은
undergo injection	주사를 맞다
be willing to V	기꺼이 ~하다
be reluctant to V	~하기를 꺼리다
buzz	(윙윙) 울리다
on time	제시간에
on the dot	제시간에
lucidity	명확성
clearness	명확성
in one accord	조화롭게
opacity	불투명성
hang over	뇌리를 떠나지 않다
unremarkable	특별할 것 없는, 평범한
get underway	시작하다, 착수하다
intimidate	겁먹게 하다, 위협하다
cow	겁먹게 하다, 위협하다
reinterpretation	재해석
aspirational	열망하는, 가지고 싶은
covetable	열망하는, 가지고 싶은
well-off	부유한
wed	결혼하다
arranged marriage	중매결혼
illiteracy	문맹
botany	식물학
mingle	섞이다
driver	동력
rev up	활성화되다
be activated	활성화되다
borrower	채무자
debtor	채무자
creditor	채권자
when it comes to N	~에 관해서
with regard to N	~에 관해
with respect to N	~에 관해
self-fulfilling	자기충족의
negative number	음수
positive number	양수
designation	명칭
observational	관찰의
observant	관찰력있는, (법)지키는
insufficiently	불충분하게
confounding factor	교란 변수
decouple	분리시키다
envy	질투
criminal conviction	유죄 판결
incompatibility	충돌, 갈등
baby boom	출생률 급증
baby bust	출생률 급락
unsound	불안정한
A be attributed to B	A는 B때문이다
antinutrient	항영양소
unwell	몸이 좋지 않은
forbear from	참다
gravitational	중력의
tide	조수(밀물, 썰물)
tidal	조수의
bulge	팽창하다
apply A to B	A를 B에 적용시키다
in succession	연속해서, 연달아
unwanted	원하지 않는
well-funded	자금이 충분하게 지원된
fast track	승진 가도, 빠른 길
hit a plateau	정체기에 들다
reach a standstill	정체기에 들다
executive leadership	경영 지도자
cortex	(대뇌) 피질
