error	실수
disobedient	반항적인
net income	(비용 등을 제외한)순이익
gross income	(비용 등을 포함한)총수입
inflate	끌어올리다, 증대시키다
reported	보고되는
put an ad	광고를 게재하다
place an ad	광고를 게재하다
change hands	주인이 바뀌다
inflow	유입
immersive	몰입하게 하는
absorbing	몰입하게 하는
benign	온화한
Antarctic	남극지역
cactus	선인장
emotive	감정을 나타내는
self-driving car	자율 주행 자동차
humanly	인간적으로
misguide	잘못된 길로 이끌다
get by	살아가다
subsist	살아가다
deep-seated	깊이 자리잡은
electric field	전기장
embarrass	당황하게 하다 / 당혹시키다
creative	창의적인
cut from the same cloth	같은 부류인
birds of a feather	같은 부류인
adjustability	적응성
tryout	적격 시험
strap on	~을 (끈으로) 착용하다
head-on	정면으로, 정면의
unapproved	허가되지 않은
unauthorized	허가되지 않은
hum	웅웅거리는 소리
tear open	찢어 열다
rip open	찢어 열다
unroll	펴다
internship	인턴사원 근무
nuclear energy	핵 에너지
industrial revolution	산업 혁명
specialties	특산품
pass down	전하다, 계승하다
hand down	전하다, 계승하다
savor	맛보다, 음미하다
relish	맛보다, 음미하다
sensibly	분별 있게
fad diets	유행하는 다이어트
nutritionist	영양학자, 영양사
lose one's marbles	실성하다, 분별을 잃다
lose one’s mind	실성하다, 분별을 잃다
become insane	실성하다, 분별을 잃다
far beyond	훨씬 너머
automatize	자동화하다
habitual	일상적인
bump up against	~와 우연히 만나다
zero in on	~에 집중하다
twig	잔가지
emerge from	~에서 나오다
continually	계속해서
add-on	첨가, 보완물
formalize	공식화하다
unintelligible	이해할 수 없는
incomprehensible	이해할 수 없는
materialize	현실화되다
come into being	현실화되다
priesthood	사제직
escort	동행하다
theology	신학
made up of	~로 구성된
comprised of	~로 구성된
social desirability	사회적 바람직성
trade barrier	무역 장벽
discriminatory	차별적인
abide by	~을 준수하다
developing market	개발도상국 시장
foot the bill	(비용을)부담하다
rigorous	엄격한
illustration	실례
world-renowned	세계적으로 유명한
shift to	~로 바꾸다
convert to	~로 바꾸다
closed-loop system	폐쇄회로 시스템
entranced	매료된
enthralled	매료된
enchanted	매료된
creeping	서서히 진행하는
solar system	태양계
in numbers	다수의
cab	택시
cabby	택시 기사
steelworker	강철 제조공
autoworker	자동차 공장 노동자
endemic	고유의, 풍토적인
brilliantly	화려하게
golden toad	황금두꺼비
strip A of B	A에서 B를 빼앗다
dry up	바싹 마르다
phytochemical	(식물 속) 화학 물질
nutritive	영양의
lose out on	~을 놓치다
proprioceptive	자기 수용의
key role	주요한 역할
pivotal role	주요한 역할
compete with	~와 경쟁하다
enviable	부러운
beckon	(오라고) 손짓하다
rejoice	크게 기뻐하다
draw attention	주의를 끌다
on earth	(의문문강조) 도대체
garage sale	중고 물품 세일
yard sale	중고 물품 세일
glance down	흘깃 내려다보다
statue	조각상
unreliability	신뢰할 수 없음
untrustworthiness	신뢰할 수 없음
oak	참나무
maple	단풍나무
unwind	긴장을 풀다
undercut	약화시키다
it stands to reason	...은 당연한 이치이다.
makes sense	이치에 맞다
fair-trade	공정 거래의
be devoted to	~에 헌신하다, 전념하다
be dedicated to	~에 헌신하다, 전념하다
social conscience	사회적 양심
zealously	열정적으로
carbon footprint	탄소 발자국
moderately	적정하게
perishable	상하기 쉬운
spoilable	상하기 쉬운
cost-effective	비용 효율이 높은
cost-efficient	비용 효율이 높은
liver	간
turnaround	반전
soap opera	연속극, 드라마
life-or-death	생사가 걸린
arms race	군비 경쟁
moth	나방
vocalization	발성
bomber	폭격기
screen out	~을 차단하다, 거르다
filter out	~을 차단하다, 거르다
get committed to~	~로 넘어가다
ruler	통치자
fall	멸망
medieval	중세의
city-states	도시 국가
differentiated	차별화된
composed of	~로 구성된
interlock	서로 맞물리다
