adjustable	적응할 수 있는
economize	경제적으로 사용하다
nuance	미묘한 차이, 뉘앙스
store up	축적하다
chronological age	생활 연령
biological age	생물학적 연령
ungrateful	배은망덕한
unmanly	남자답지 못한
stand firm	꿋꿋이 서다
disown	의절하다
inform A of B	A에게 B를 알리다
struggle to	~하려고 노력하다
stump	그루터기
rite of passage	통과 의례
blindfold	눈가리개
awfully	아주, 상당히
into thin air	흔적도 없이
without a trace	흔적도 없이
fertilizing	비료 주기
soil degradation	토질 저하
aesthetics	미학
heartbreaking	가슴이 아픈 / 가슴 아픈
pervading	보편적인, 널리 퍼진
remind A of B	A에게 B를 상기시키다
baby carriage	유모차
inferior to	~보다 열등한
intrusive	침해적인
eligible	자격을 갖춘
plain paper	백지
fasten together	결합하다
bodily fluid	체액
slimy	끈적끈적한
dementia	치매
unawareness	무지
obey	복종하다
methodical	체계적인, 질서 있는
divine revelation	신적인 계시
causal relation	인과관계
enthusiast	애호가, 광팬
hunter	포식자
fine-tuned	미세 조정된
-fold	-배
times	-배
invert	뒤집다
fitting	적절한, 적합한
plane	평평한 면
introverted	내향적인
introversion	내향성
extroverted	외향적인
extrovert	외향적인 사람
messiness	번잡함
creek	개울, 시내
throughout the year	연중내내
fall prey to	~의 먹잇감이 되다
self­driving	자율 주행
ambiguously	모호하게
bring ~ to bear	~을 도입하다
bottle feeding	젖병 수유
the blind	시각 장애인
the deaf	청각 장애인
the color­blind	색맹
ins and outs	세부적인 것들
details	세부적인 것들
particulars	세부적인 것들
steam	데우다
dairy alternative	대체 유제품
legal guardian	법적 보호자
first aid kit	구급상자
dependency	중독
extra­familial	가족 이외의
turn toward	~에 의지하다
nonjudgmental	무비판적인
correspond with	~과 일치하다
investigator	연구자
technologist	기술자
on the lookout for	~을 찾고 있는
quantifiable	측정가능한
lifeblood	생명줄
season	양념을 하다
seasoning	조미료
antibacterial	항균의
large­scale	전체의, 대규모의
ever­increasing	계속 증가하는
elderly	노인의
demotivated	의욕을 잃은
reorientate	방향을 다시 잡다
timescale	시간
wintering location	월동 장소
hard­earned	힘들여 얻은
think on one’s feet	즉시 대처하다
disposed	성향이 있는
tomb	무덤
sequentially	순차적으로
switch	전환
automatic pilot	자동 조종
furry	털이 많은
hairy	털이 많은
vet (=veterinarian)	수의사
divide into	나누다
nervously	초조하게
downgrading	낮추는 것
self-assessment	자기 평가
capabilities	능력
competencies	능력
in exchange	대신에
hinge on	~에 달려있다
kiss up to	아첨하다
flatter	아첨하다
reorganizing	구조조정
moral hazard	도덕적 해이
intercede	개입하다
decision making	의사 결정
be carried out	수행되다
be conducted	수행되다
break up A into B	A를 B로 나누다
