die out	사라지다, 소멸하다
nudge	팔꿈치로 쿡쿡 찌르다
acclimate	적응하다
advertisement	광고
entertainment	오락(물), 연예
intersperse	흩뿌리다
vintage	빈티지, 낡은, 오래된
side issue	부수적인 문제
sunk cost	매몰 비용
irrecoverable cost	매몰 비용
lightbulb	전구
vastness	광대함, 광활함
funds	자본
admonish	권고하다
agrarian	농업(농민)의
high-profile	세간의 이목을 끄는
make one’s living	생계를 꾸려 나가다
hereditary	유전의, 발생의
give away the game	속셈을 다 보이다
prevalence	빈번함, 널리 행하여짐
in plain view	명백한 시야에서
construction site	건설 현장
for the rest	여생 동안
school fees	등록금, 수업료
bidirectional	두 방향으로 작용하는
convert A into B	A를 B로 바꾸다
thoroughfare	통로
creation	창작물
lay off	해고하다
pink slip	해고 통지서
labor force	노동력
workforce	노동력
idle	한가한, 게으른
man	~에서 일하다
build on	~을 기반으로 하다 / 기반으로 하다
jealousy	질투
call	전화를 걸다
potter	도공, 옹기장이
confirmation bias	확증 편향
myside bias	확증 편향
interviewer	면접관
cherry­picking	(최고를) 선별하는
hypothetical	가정의, 가설의
threefold	세 배
inspector	심사관, 검사관
examiner	심사관
shivering	떨리는
weighed down	짓눌린, 무거운
oppressed	짓눌린, 무거운
fact of life	삶의 현실
sharpness	명민함
replicability	반복 가능성
reproducibility	반복 가능성
steadiness	일관성
sheet music	악보
social barriers	사회적 장벽
riot	폭동
uprising	폭동
rebellion	폭동
unproven	증명되지 않은
disproven	(거짓으로)반증된
shift into place	변화해 자리잡다
deserved	마땅한, 당연한
fair and square	정정당당하게
outraging	분노하게 만드는
angering	분노하게 만드는
ethnologist	민속학자
in-depth	심도 있는
reproductions	복제품
replicas	복제품
engraving	판화
dimensions	치수, 크기
constant elements	일정한 요소
consistent factors	일정한 요소
periodic cycle	주기적 순환
reach a point	정점에 도달하다
driven by	~에 의해 발생된
triggered by	~에 의해 발생된
implied	암시적인, 암묵적인
brain dump	무의식적인 생각 표현
additives	첨가물
milling	제분
micronutrients	미량 영양소
fermentation	발효
germination	발아
sprouting	발아
antioxidants	항산화 물질
cluster of qualities	여러 특징들의 집합
get things done	일을 수행하다
surround oneself with	~와 함께하다
unapproachable	가까이하기 어려운
fallibility	오류 가능성, 불완전성
foul up	망치다
stylized	양식화된
effects	결과, 영향
adjacency	근접
heavy drinker	술을 많이 마시는 사람
social influence	사회적 영향
insensible	의식이 없는
anesthetized	마취된
body temperature	체온
core temperature	체온
torpor	휴면 상태
come as a surprise	놀라움을 주다
relaxing	휴식하는
in difficulty	곤경에 처한
judged by	판단 받는
humiliated	창피한
overreacting	과잉 반응하는
over-responding	과잉 반응하는
poker face	무표정한 얼굴
less likely	가능성이 더 낮은
authority figures	권위자
noncontroversial	논쟁의 여지가 없는
indisputable	논쟁의 여지가 없는
unchallenged	논쟁의 여지가 없는
unquestioned	논쟁의 여지가 없는
time-pressed	시간이 부족한
think for themselves	스스로 생각하다
struggled	힘들어하다
fitting in	어울리다, 적응하다
teased	놀림받다
bullied	놀림받다
unsympathetic	냉담한
resolved	단호한
skeptically	비판적으로, 회의적으로
conjecture	추측하다
miserly	인색한
commendable	칭찬할 만한
booster	촉진제, 부스터
confirmed	정립된, 확인된
validated	정립된, 인증된
magnitudes	크기, 규모
compensatory	보상의
cushion	완화하다
reliant on	의존하는
aim for	~을 추구하다
adequacy	적절성
lifeline	목숨줄, 생명선
limited to	~에 국한된
restricted to	~에 국한된
revolutionize	혁신을 일으키다
activist	운동가
apartheid	인종차별 정책
racial segregation	인종차별
conditioned	조건화된
preference for	~에 대한 선호
activated	촉발된
reproductive system	생식 기관
brood	함께 태어난 새끼
marathon effort	장기적인 노력
qualify as	~로 간주되다
edge case	특이 사례
inputs	자극
varies	달라지다
overuse	과도한 사용
misuse	과도한 사용, 남용
in isolation	고립된 상태에서
degeneration	퇴화, 악화
regenerate	재생하다
circumstantial	상황적인
blind (oneself)	눈을 멀게 하다
chronology	연대기
