revulsion	혐오, 반감
engage with	~와 관계를 맺다
sovereign power	군림하는 권력, 주권
brutish	잔인한, 야수같은
mutual fear	상호 간의 두려움
common drive	공통된 추진력
phenomenology	현상학
depicted	묘사된
portrayed	묘사된
sensed	지각된
introduce (changes)	(변화를) 도입하다
passed down	물려받은
differentiated state	분화된 상태
patch (of cells)	세포 집단
at variance with	~와 불일치하는
conflicting with	~와 불일치하는
readability	가독성
messy bits	어지러운 부분
beamed	활짝 웃다
fight through tears	눈물을 참다
reassuring	안심시키는
inclined to	~하는 경향이 있는
parallel	상응하는, 유사한 / 유사점, 평행
entitled to	~할 자격이 있는
eligible for	~할 자격이 있는
fullfill end of the bargain	역할을 다하다
endeavor to	~하려고 애쓰다
maximization	극대화, 최대화
amplification	극대화, 최대화
minimization	최소화
crops	농산물, 작물
hold together	결속하다, 합치다
take a measure	조치를 취하다
mentioned	언급된
end up -ing	결국 -하게 되다
wind up -ing	결국 -하게 되다
come to -ing	결국 -하게 되다
two-tier	2단계의
flag up	표시하다
chart	보여 주다, 나타내다
multiculturalism	다문화주의
pluralistic	다원적인, 포용적인
take a back seat	뒷전으로 밀려나다
domian	영역
optimization	최적화
legitimacy	정당성
indicative of	~을 나타내는
representative of	~을 나타내는
make ready	준비시키다
supply A with B	A에게 B를 제공하다
furnish A with B	A에게 B를 제공하다
deleterious	해로운
tag along	뒤따라가다
look to	참고하다
amply	충분히, 상세히
patriotism	민족주의
long gone	오래 전에 없어진
vanished	오래 전에 없어진, 사라진
hindsight	(지난 일에 대한) 통찰력
the other way round	반대로
in most cases	대부분
self-reliance	자급자족
drained	피로한
fatigued	피로한
hippocampus	(대뇌 측두엽의) 해마
(para)sympathetic	(부)교감
cook up	(이야기, 계획) 만들다
leave over	~을 남겨두다
forecasting	예측하는
competing	상충되는, 경쟁하는
as a general rule	일반적으로
pertinent	관련 있는
stimulative	자극하는
by some means	어떻게든
favored	혜택을 받는, 유리한
advantaged	혜택을 받는, 유리한
subordinated	종속된
dominated	종속된
obliteration	소멸
erasure	소멸
premises	(공장)부지, 전제조건
serve the needs	수요를 충족시키다
meet the needs	수요를 충족시키다
freezing	몹시 추운
step out	나가다, 벗어나다
impermeable	스며들지 않는
permeable	투과성 있는
porous	구멍이 있는, 투과성 있는
at large	전체적으로
try	맛보다, 시식하다
offering	제공물, 제공되는 것
showy	화려한, 눈에 띄는
host of	수많은
large number of	수많은
handful of	적은
interest rate	이자율
hold out	기다리다, 참다
handedness	잘 쓰는 쪽 손
of central importance	매우 중요한
womb	자궁
founding father	창시자, 창립자
graduated	점진적인
the minority of	소수의
deeply	철저하게
dropout rate	중도 탈락률
win over	사로잡다
captivate	사로잡다, 매혹시키다
masses	대중
hatchling	갓 부화한 새끼
hatching	부화
mirroring	반사, 반영
self-destructive	자기파괴적인
simply put	간단히 말해
blind-folded	눈이 가려진
haptic	촉각의
intellect	지성, 지적 능력
zoologist	동물학자
limbic	변연계(의)
disagreeable	불쾌한, 싫은
vulnerable to	~에 취약한
bulky	부피가 큰, 다루기 힘든
consist in	~에 존재하다, 기반하다
propostion	전제, 명제
work through	신중히 살펴보다
overcrowd	과밀화하다
overpopulate	과밀화하다
clog up	막히게 하다
opportunity	기회
out-migration	외부 이주
intergenerational	세대 간의
cross-generational	세대 간의
inflation	통화팽창, 인플레이션
money supply	통화량
exchangeable	전환 가능한
afforded by	~에 의해 제공되는
provided by	~에 의해 제공되는
stoic	금욕적인, 냉정한
disruptive	혼란스러운, 방해하는
unsettling	혼란스러운, 방해하는
tyranny	횡포, 억압
kneel	무릎 꿇다
tightly-knit	긴밀하게 결속된
misplaced	잘못된, 부적절한
dismissive	무시하는
overlooking	무시하는
ignoring	무시하는
conceivable	생각할 수 있는
imaginable	생각할 수 있는
steep drops	가파른 하락
upkeep	유지, 보수
