descriptor	기술어(記述語)
deemed	간주되다
considered	간주되다
regarded	간주되다
damaged	손상된
weakened	약해진
cellular	세포의
nuclear	핵의
wearing	지치게 하는
burnout	소진, 극도의 피로
resisit	저항하다, 거부하다
counterproductive	역효과를 내는
astounding	놀라운
ruthless	잔혹한, 무자비한
blow up	폭파하다
stay up with	~에 뒤처지지 않다
anchoring	고정시키기
emblematic	상징적인
tagline	끝맺음 말
moss	이끼
solar eclipse	개기일식
lunar eclipse	월식
infringe on	침해하다
break in	끼어들다
play by the rules	규칙에 따르다
break apart	쪼개다
take a chance	위험을 감수하다
blow money	돈을 펑펑 쓰다
be suitable for	~에 적합하다
be apt for	~에 적합하다
suited to	~에 적합한
appropriate for	~에 적합한
crease	주름, 접힌 자국
winning	뛰어난
rigidity	단단함, 강직성
distinctively	독특하게, 특별히
kitten	새끼 고양이
deposit	축적물, 퇴적물; 보증금
lengthy	긴, 오랜, 장황한
dealership	판매 대리점
gesture	행동, 몸짓
proud	자랑스러워하는
bookshelf	책장
in desperation	자포자기한 채
in despair	자포자기한 채
self-boundary	자기 경계
self-restraint	자기 통제
keep the focus on	~에 초점을 유지하다
stay focused on	~에 초점을 유지하다
abnormality	이상
alcoholism	알코올 중독
liquor	술
super-taster	초미각자
nutritious	영양가 있는, 몸에 좋은
dieter	다이어트 하는 사람
glamorous	매력 있는, 화려한
be reasonable	이치에 맞다, 타당하다
testify to	~을 증명하다, 입증하다
neglect to	하지 않고 두다
futile	성과 없는, 무익한
broader	더 포괄적인
more comprehensive	더 포괄적인
agile	민첩한, 기민한
classical recital	클래식 독주회
ascribe A to B	A를 B의 탓으로 돌리다
coding sequence	암호 서열
perpetuate	영속시키다, 지속시키다
altered	변화된, 변형된
matter of chance	우연의 문제
lead nowhere	결실이 없다
result in nothing	결실이 없다
liberal culture	자유주의 문화
societal inequalities	사회적 불평등
egalitarian	평등주의의
numerical	정량적인
industrialised	산업화된
modernized	산업화된, 현대화된
organisation	조직화
macroeconomic	거시경제의(큰 규모)
microeconomic	미시경제의(작은 단위)
quantification	수량화
be conscious of	~을 알고 있다
specialised	전문화된
communicate with	소통하다
specialist topic	전문 주제
gaze up	올려다보다
grandeur	웅장함
magnificence	웅장함
escalated	(부정적) 심해진, 악화된
enforcer	집행자
executor	집행자
get more play	더 많이 주목받다
regardless	상관없이
numerical value	수치적 값
scale-dependent	척도 의존적
body fluid	체액
rule of thumb	경험 법칙
forewing	앞날개
hindwing	뒷날개
antenna	더듬이
feathery	깃털 모양의
translocation	개체 이동
neonatal	신생의, 갓 태어난
substitution	교체, 대체
phase out	단계적으로 중단하다
psyche	정신
wobble	흔들리다
orchestrated	조화롭게 편성된
deactivate	비활성화하다
True	진정한
polarity	양극성
charity marathon	자선 마라톤
babysit	아이를 돌보다
unidimensional	일차원적인
multidimensional	다차원적인, 다양한
bombard	(폭탄처럼) 쏟아붓다
jumping-off point	발판
stepping stone	발판, 디딤돌
be in place	자리잡다, 시행되다
be set up	마련되다
be in operation	시행되다
equip A to ~	A가 ~할 수 있게 준비시키다
prepare A to ~	A가 ~할 수 있게 준비시키다
enable A to ~	A가 ~할 수 있게 하다
commuter	통근객
impose A on B	A를 B에게 부여하다
inflict A on B	A를 B에게 가하다
acoustical	음향의, 청각의
sonic	소리의, 음속의
sharply	급격하게, 날카롭게
previous to	~ 이전에
basically	기본적으로, 본질적으로
inefficiency	비효율성
casting	주조
engrossed in	~에 몰두한, ~에 열중한
academia	학계
refuse to	거절하다
decline to	거절하다
avoidance	회피
a flowering of	활발한
incorporated	내면화된
clarified	명확한
validly	타당하게
on the ground that	~이라는 근거로
on the basis that	~이라는 근거로
as far as~be concerned	~에 관한한
meaningfully	유의미하게
pointlessly	무의미하게
natural-sounding	자연스럽게 들리는
humanness	인간성
flagged	(문제로) 지적된
pointed out	지적된
standardization	표준화
normalization	표준화
duplication	복제
circulated	배포된, 유통된
